#A #B
435 -0.19256
435.002 -0.19274
435.004 -0.19236
435.006 -0.19247
435.008 -0.19235
435.01 -0.19227
435.012 -0.19233
435.014 -0.19212
435.016 -0.19242
435.018 -0.19238
435.02 -0.19247
435.022 -0.19237
435.024 -0.19222
435.026 -0.19246
435.028 -0.1922
435.03 -0.19226
435.032 -0.19216
435.034 -0.19226
435.036 -0.19228
435.038 -0.19241
435.04 -0.1922
435.042 -0.19247
435.044 -0.19218
435.046 -0.1922
435.048 -0.19221
435.05 -0.19225
435.052 -0.1923
435.054 -0.19201
435.056 -0.19225
435.058 -0.19246
435.06 -0.19205
435.062 -0.1922
435.064 -0.19242
435.066 -0.19213
435.068 -0.19224
435.07 -0.1923
435.072 -0.19216
435.074 -0.19226
435.076 -0.19211
435.078 -0.19221
435.08 -0.19216
435.082 -0.19236
435.084 -0.1923
435.086 -0.19213
435.088 -0.1922
435.09 -0.19203
435.092 -0.19219
435.094 -0.19224
435.096 -0.19225
435.098 -0.1922
435.1 -0.19252
435.102 -0.19231
435.104 -0.19223
435.106 -0.19207
435.108 -0.19239
435.11 -0.19217
435.112 -0.19218
435.114 -0.19232
435.116 -0.19228
435.118 -0.19228
435.12 -0.19236
435.122 -0.19217
435.124 -0.19215
435.126 -0.19233
435.128 -0.19211
435.13 -0.19248
435.132 -0.19239
435.134 -0.1925
435.136 -0.19229
435.138 -0.19235
435.14 -0.19232
435.142 -0.19223
435.144 -0.19213
435.146 -0.19216
435.148 -0.19206
435.15 -0.19246
435.152 -0.19224
435.154 -0.19214
435.156 -0.19219
435.158 -0.19249
435.16 -0.19219
435.162 -0.19236
435.164 -0.19214
435.166 -0.19225
435.168 -0.1921
435.17 -0.19222
435.172 -0.19212
435.174 -0.19234
435.176 -0.19225
435.178 -0.19214
435.18 -0.19255
435.182 -0.1922
435.184 -0.19222
435.186 -0.19243
435.188 -0.19239
435.19 -0.19241
435.192 -0.19214
435.194 -0.19231
435.196 -0.19225
435.198 -0.19202
435.2 -0.19216
435.202 -0.19224
435.204 -0.19226
