#A #B
435.45 -0.19391
435.4505 -0.19369
435.451 -0.19385
435.4515 -0.19415
435.452 -0.1937
435.4525 -0.1935
435.453 -0.1939
435.4535 -0.19352
435.454 -0.19375
435.4545 -0.19341
435.455 -0.19404
435.4555 -0.1941
435.456 -0.19394
435.4565 -0.19413
435.457 -0.19409
435.4575 -0.19417
435.458 -0.19383
435.4585 -0.19348
435.459 -0.1938
435.4595 -0.19391
435.46 -0.19395
435.4605 -0.19397
435.461 -0.19419
435.4615 -0.19469
435.462 -0.19449
435.4625 -0.19419
435.463 -0.1946
435.4635 -0.19454
435.464 -0.19416
435.4645 -0.19471
435.465 -0.19517
435.4655 -0.19482
435.466 -0.19562
435.4665 -0.19448
435.467 -0.19469
435.4675 -0.19491
435.468 -0.19452
435.4685 -0.19469
435.469 -0.1949
435.4695 -0.19532
435.47 -0.1959
435.4705 -0.1955
435.471 -0.1952
435.4715 -0.19569
435.472 -0.1957
435.4725 -0.19598
435.473 -0.19641
435.4735 -0.1956
435.474 -0.19642
435.4745 -0.19597
435.475 -0.1968
435.4755 -0.1964
435.476 -0.19639
435.4765 -0.19629
435.477 -0.19596
435.4775 -0.19662
435.478 -0.19718
435.4785 -0.19654
435.479 -0.19694
435.4795 -0.19845
435.48 -0.19674
435.4805 -0.19686
435.481 -0.19779
435.4815 -0.19777
435.482 -0.19802
435.4825 -0.1982
435.483 -0.19929
435.4835 -0.19897
435.484 -0.19896
435.4845 -0.20006
435.485 -0.19943
435.4855 -0.20039
435.486 -0.1996
435.4865 -0.20111
435.487 -0.20097
435.4875 -0.2015
435.488 -0.20218
435.4885 -0.201
435.489 -0.20314
435.4895 -0.20292
435.49 -0.20223
435.4905 -0.20339
435.491 -0.2042
435.4915 -0.20506
435.492 -0.20615
435.4925 -0.20689
435.493 -0.2072
435.4935 -0.20861
435.494 -0.21
435.4945 -0.21023
435.495 -0.21204
435.4955 -0.21252
435.496 -0.21395
435.4965 -0.21589
435.497 -0.21875
435.4975 -0.21951
435.498 -0.22037
435.4985 -0.2233
435.499 -0.22663
435.4995 -0.22702
435.5 -0.23179
435.5005 -0.23709
435.501 -0.23802
435.5015 -0.24127
435.502 -0.24564
435.5025 -0.25138
435.503 -0.259
435.5035 -0.26298
435.504 -0.26528
435.5045 -0.27102
435.505 -0.276
435.5055 -0.28756
435.506 -0.29149
435.5065 -0.30469
435.507 -0.3135
435.5075 -0.31799
435.508 -0.32659
435.5085 -0.3366
435.509 -0.34033
435.5095 -0.35379
435.51 -0.3625
435.5105 -0.37527
435.511 -0.38785
435.5115 -0.40017
435.512 -0.41554
435.5125 -0.42335
435.513 -0.4459
435.5135 -0.46047
435.514 -0.49149
435.5145 -0.5199
435.515 -0.56084
435.5155 -0.57762
435.516 -0.63597
435.5165 -0.68623
435.517 -0.72741
435.5175 -0.80127
435.518 -0.83633
435.5185 -0.89466
435.519 -0.9632
435.5195 -0.9847
435.52 -1.05774
435.5205 -1.09831
435.521 -1.13204
435.5215 -1.18098
435.522 -1.20767
435.5225 -1.22654
435.523 -1.22718
435.5235 -1.23947
435.524 -1.20596
435.5245 -1.20737
435.525 -1.19357
435.5255 -1.15784
435.526 -1.13747
435.5265 -1.09768
435.527 -1.03042
435.5275 -1.00956
435.528 -0.96105
435.5285 -0.92069
435.529 -0.89935
435.5295 -0.84741
435.53 -0.82113
435.5305 -0.79836
435.531 -0.73805
435.5315 -0.73428
435.532 -0.69095
435.5325 -0.66104
435.533 -0.64602
435.5335 -0.62082
435.534 -0.61498
435.5345 -0.59711
435.535 -0.5722
435.5355 -0.56222
435.536 -0.53934
435.5365 -0.52445
435.537 -0.51214
435.5375 -0.49541
435.538 -0.48102
435.5385 -0.46192
435.539 -0.44551
435.5395 -0.44181
435.54 -0.41575
435.5405 -0.4195
435.541 -0.40175
435.5415 -0.38848
435.542 -0.37414
435.5425 -0.37663
435.543 -0.3587
435.5435 -0.35537
435.544 -0.34929
435.5445 -0.34003
435.545 -0.3287
435.5455 -0.32245
435.546 -0.31405
435.5465 -0.30942
435.547 -0.29332
435.5475 -0.28944
435.548 -0.28169
435.5485 -0.27603
435.549 -0.2718
435.5495 -0.26659
435.55 -0.25998
435.5505 -0.25596
435.551 -0.24886
435.5515 -0.24858
435.552 -0.2428
435.5525 -0.24147
435.553 -0.23695
435.5535 -0.2323
435.554 -0.22916
435.5545 -0.22721
435.555 -0.22205
435.5555 -0.22077
435.556 -0.21669
435.5565 -0.21574
435.557 -0.21425
435.5575 -0.21085
435.558 -0.20972
435.5585 -0.209
435.559 -0.20677
435.5595 -0.20645
435.56 -0.20442
435.5605 -0.20223
435.561 -0.20202
435.5615 -0.20193
435.562 -0.20233
435.5625 -0.201
435.563 -0.20121
435.5635 -0.2008
435.564 -0.20114
435.5645 -0.19996
435.565 -0.20001
435.5655 -0.19942
435.566 -0.19949
435.5665 -0.19803
435.567 -0.19777
435.5675 -0.19801
435.568 -0.19831
435.5685 -0.19762
435.569 -0.19744
435.5695 -0.19751
435.57 -0.19691
435.5705 -0.19702
435.571 -0.19668
435.5715 -0.1963
435.572 -0.19618
435.5725 -0.19702
435.573 -0.19557
435.5735 -0.19653
435.574 -0.19591
435.5745 -0.19552
435.575 -0.1955
435.5755 -0.19524
435.576 -0.19486
435.5765 -0.195
435.577 -0.19515
435.5775 -0.19502
435.578 -0.1946
435.5785 -0.19481
435.579 -0.19484
435.5795 -0.19544
435.58 -0.19511
435.5805 -0.19543
435.581 -0.195
435.5815 -0.1945
435.582 -0.19409
435.5825 -0.19481
435.583 -0.19435
435.5835 -0.19452
435.584 -0.19474
435.5845 -0.19432
435.585 -0.1944
435.5855 -0.19374
435.586 -0.19445
435.5865 -0.19425
435.587 -0.19396
435.5875 -0.1945
435.588 -0.19405
435.5885 -0.1938
435.589 -0.19363
435.5895 -0.19402
435.59 -0.19463
435.5905 -0.19373
435.591 -0.19359
435.5915 -0.19406
435.592 -0.19375
435.5925 -0.19372
435.593 -0.19319
435.5935 -0.19338
435.594 -0.19408
435.5945 -0.19346
435.595 -0.19355
435.5955 -0.19368
435.596 -0.19357
435.5965 -0.19456
435.597 -0.19353
435.5975 -0.19336
435.598 -0.19366
435.5985 -0.19402
435.599 -0.19331
435.5995 -0.19338
435.6 -0.19369
