#A #B
607 -0.19232
607.0005 -0.19267
607.001 -0.19231
607.0015 -0.19255
607.002 -0.19248
607.0025 -0.19254
607.003 -0.19264
607.0035 -0.19269
607.004 -0.19262
607.0045 -0.19264
607.005 -0.19244
607.0055 -0.19246
607.006 -0.19249
607.0065 -0.19246
607.007 -0.19241
607.0075 -0.19231
607.008 -0.19256
607.0085 -0.19263
607.009 -0.19258
607.0095 -0.19237
607.01 -0.19239
607.0105 -0.19223
607.011 -0.19237
607.0115 -0.19258
607.012 -0.19234
607.0125 -0.19283
607.013 -0.19269
607.0135 -0.19261
607.014 -0.19225
607.0145 -0.19278
607.015 -0.19225
607.0155 -0.19227
607.016 -0.19291
607.0165 -0.19281
607.017 -0.19264
607.0175 -0.19276
607.018 -0.19232
607.0185 -0.19247
607.019 -0.19274
607.0195 -0.19292
607.02 -0.19252
607.0205 -0.19258
607.021 -0.19281
607.0215 -0.1924
607.022 -0.1925
607.0225 -0.19252
607.023 -0.19245
607.0235 -0.19261
607.024 -0.19256
607.0245 -0.19266
607.025 -0.19288
607.0255 -0.19259
607.026 -0.19235
607.0265 -0.19263
607.027 -0.19252
607.0275 -0.19268
607.028 -0.19255
607.0285 -0.19298
607.029 -0.19267
607.0295 -0.19253
607.03 -0.19239
607.0305 -0.19273
607.031 -0.19246
607.0315 -0.1925
607.032 -0.1925
607.0325 -0.19264
607.033 -0.19244
607.0335 -0.19227
607.034 -0.19259
607.0345 -0.19276
607.035 -0.19274
607.0355 -0.19246
607.036 -0.1927
607.0365 -0.193
607.037 -0.19281
607.0375 -0.19303
607.038 -0.19271
607.0385 -0.19278
607.039 -0.19274
607.0395 -0.1928
607.04 -0.1928
607.0405 -0.19307
607.041 -0.19247
607.0415 -0.19273
607.042 -0.19287
607.0425 -0.19293
607.043 -0.19286
607.0435 -0.19294
607.044 -0.19266
607.0445 -0.19302
607.045 -0.19279
607.0455 -0.19315
607.046 -0.19281
607.0465 -0.19281
607.047 -0.19261
607.0475 -0.19274
607.048 -0.19246
607.0485 -0.19269
607.049 -0.19313
607.0495 -0.19286
607.05 -0.19341
607.0505 -0.19279
607.051 -0.1931
607.0515 -0.19317
607.052 -0.19301
607.0525 -0.19277
607.053 -0.19299
607.0535 -0.19307
607.054 -0.19325
607.0545 -0.193
607.055 -0.19264
607.0555 -0.19271
607.056 -0.19299
607.0565 -0.19297
607.057 -0.19308
607.0575 -0.19269
607.058 -0.19299
607.0585 -0.193
607.059 -0.19308
607.0595 -0.19355
607.06 -0.19278
607.0605 -0.19315
607.061 -0.1931
607.0615 -0.19319
607.062 -0.19291
607.0625 -0.19333
607.063 -0.19263
607.0635 -0.19335
607.064 -0.19306
607.0645 -0.19316
607.065 -0.19342
607.0655 -0.19361
607.066 -0.19292
607.0665 -0.19306
607.067 -0.19302
607.0675 -0.19332
607.068 -0.19315
607.0685 -0.19345
607.069 -0.19352
607.0695 -0.19344
607.07 -0.19307
607.0705 -0.19371
607.071 -0.19324
607.0715 -0.19367
607.072 -0.19337
607.0725 -0.19319
607.073 -0.19333
607.0735 -0.19328
607.074 -0.19325
607.0745 -0.19411
607.075 -0.19323
607.0755 -0.19368
607.076 -0.19306
607.0765 -0.1934
607.077 -0.1941
607.0775 -0.19364
607.078 -0.19378
607.0785 -0.19309
607.079 -0.19373
607.0795 -0.1942
607.08 -0.19343
607.0805 -0.19411
607.081 -0.19378
607.0815 -0.194
607.082 -0.19368
607.0825 -0.19392
607.083 -0.19396
607.0835 -0.1941
607.084 -0.19358
607.0845 -0.19351
607.085 -0.19398
607.0855 -0.19397
607.086 -0.19474
607.0865 -0.19416
607.087 -0.19448
607.0875 -0.19441
607.088 -0.19402
607.0885 -0.19437
607.089 -0.19386
607.0895 -0.19378
607.09 -0.19417
607.0905 -0.19436
607.091 -0.19511
607.0915 -0.19443
607.092 -0.19443
607.0925 -0.19434
607.093 -0.19484
607.0935 -0.19397
607.094 -0.19518
607.0945 -0.19501
607.095 -0.19415
607.0955 -0.19461
607.096 -0.19401
607.0965 -0.19557
607.097 -0.19471
607.0975 -0.19509
607.098 -0.19506
607.0985 -0.19583
607.099 -0.19539
607.0995 -0.19587
607.1 -0.19555
607.1005 -0.19585
607.101 -0.1954
607.1015 -0.19469
607.102 -0.1955
