#A #B
607 -0.19203
607.0005 -0.19205
607.001 -0.19232
607.0015 -0.19204
607.002 -0.19221
607.0025 -0.19215
607.003 -0.1926
607.0035 -0.19241
607.004 -0.19211
607.0045 -0.19235
607.005 -0.1926
607.0055 -0.19219
607.006 -0.19211
607.0065 -0.19229
607.007 -0.19233
607.0075 -0.1925
607.008 -0.1926
607.0085 -0.19232
607.009 -0.1927
607.0095 -0.1924
607.01 -0.19204
607.0105 -0.19248
607.011 -0.19241
607.0115 -0.19246
607.012 -0.19208
607.0125 -0.19226
607.013 -0.19264
607.0135 -0.19217
607.014 -0.1922
607.0145 -0.19224
607.015 -0.19236
607.0155 -0.19264
607.016 -0.19247
607.0165 -0.19238
607.017 -0.19227
607.0175 -0.19223
607.018 -0.1922
607.0185 -0.19236
607.019 -0.19233
607.0195 -0.19203
607.02 -0.19236
607.0205 -0.19225
607.021 -0.19225
607.0215 -0.19225
607.022 -0.19233
607.0225 -0.19239
607.023 -0.19244
607.0235 -0.19214
607.024 -0.19227
607.0245 -0.19247
607.025 -0.1922
607.0255 -0.19203
607.026 -0.19214
607.0265 -0.19258
607.027 -0.19232
607.0275 -0.19224
607.028 -0.19239
607.0285 -0.19216
607.029 -0.19267
607.0295 -0.19228
607.03 -0.19248
607.0305 -0.19241
607.031 -0.19256
607.0315 -0.1922
607.032 -0.1923
607.0325 -0.19277
607.033 -0.19237
607.0335 -0.19266
607.034 -0.1925
607.0345 -0.19256
607.035 -0.19215
607.0355 -0.19266
607.036 -0.19242
607.0365 -0.19252
607.037 -0.19259
607.0375 -0.19269
607.038 -0.19304
607.0385 -0.19253
607.039 -0.19267
607.0395 -0.19264
607.04 -0.19248
607.0405 -0.19242
607.041 -0.19286
607.0415 -0.19237
607.042 -0.19261
607.0425 -0.19229
607.043 -0.19249
607.0435 -0.19282
607.044 -0.19269
607.0445 -0.19265
607.045 -0.19239
607.0455 -0.19253
607.046 -0.19246
607.0465 -0.19235
607.047 -0.19247
607.0475 -0.19249
607.048 -0.19233
607.0485 -0.19239
607.049 -0.19266
607.0495 -0.19263
607.05 -0.19324
607.0505 -0.19273
607.051 -0.19302
607.0515 -0.1928
607.052 -0.19274
607.0525 -0.19262
607.053 -0.19244
607.0535 -0.19273
607.054 -0.1926
607.0545 -0.1928
607.055 -0.19291
607.0555 -0.19303
607.056 -0.1926
607.0565 -0.19276
607.057 -0.19285
607.0575 -0.19266
607.058 -0.19255
607.0585 -0.19294
607.059 -0.19273
607.0595 -0.19276
607.06 -0.19258
607.0605 -0.19316
607.061 -0.19282
607.0615 -0.19294
607.062 -0.19284
607.0625 -0.19306
607.063 -0.1931
607.0635 -0.19283
607.064 -0.19245
607.0645 -0.19285
607.065 -0.19288
607.0655 -0.19249
