#A #B
607 -0.19241
607.0005 -0.19224
607.001 -0.1925
607.0015 -0.19237
607.002 -0.19211
607.0025 -0.19233
607.003 -0.19219
607.0035 -0.19229
607.004 -0.19221
607.0045 -0.19224
607.005 -0.19264
607.0055 -0.19208
607.006 -0.19224
607.0065 -0.19211
607.007 -0.19235
607.0075 -0.19221
607.008 -0.19208
607.0085 -0.19205
607.009 -0.19213
607.0095 -0.19256
607.01 -0.19219
607.0105 -0.19208
607.011 -0.19221
607.0115 -0.19241
607.012 -0.19256
607.0125 -0.19224
607.013 -0.19231
607.0135 -0.19222
607.014 -0.1922
607.0145 -0.19249
607.015 -0.1923
607.0155 -0.19208
607.016 -0.1922
607.0165 -0.1921
607.017 -0.19261
607.0175 -0.19222
607.018 -0.19237
607.0185 -0.1925
607.019 -0.19263
607.0195 -0.19217
607.02 -0.1922
607.0205 -0.19255
607.021 -0.19253
607.0215 -0.19235
607.022 -0.19216
607.0225 -0.19239
607.023 -0.19234
607.0235 -0.19265
607.024 -0.19236
607.0245 -0.19241
607.025 -0.19242
607.0255 -0.19219
607.026 -0.19221
607.0265 -0.19213
607.027 -0.19207
607.0275 -0.19215
607.028 -0.19263
607.0285 -0.19223
607.029 -0.19216
607.0295 -0.19267
607.03 -0.19206
607.0305 -0.19214
607.031 -0.19263
607.0315 -0.19236
607.032 -0.19248
607.0325 -0.19279
607.033 -0.19241
607.0335 -0.19261
607.034 -0.19233
607.0345 -0.19247
607.035 -0.19236
607.0355 -0.19253
607.036 -0.19238
607.0365 -0.19238
607.037 -0.19234
607.0375 -0.19225
607.038 -0.19222
607.0385 -0.19267
607.039 -0.19253
607.0395 -0.19241
607.04 -0.19243
607.0405 -0.19239
607.041 -0.19275
607.0415 -0.19221
607.042 -0.19235
607.0425 -0.19239
607.043 -0.19239
607.0435 -0.19255
607.044 -0.19275
607.0445 -0.19228
607.045 -0.193
607.0455 -0.19208
607.046 -0.19246
607.0465 -0.19224
607.047 -0.19238
607.0475 -0.19235
607.048 -0.19276
607.0485 -0.19246
607.049 -0.19241
607.0495 -0.19276
607.05 -0.19217
607.0505 -0.19286
607.051 -0.19244
607.0515 -0.19243
607.052 -0.19283
607.0525 -0.1926
607.053 -0.19293
607.0535 -0.19242
607.054 -0.19233
607.0545 -0.19242
607.055 -0.1923
607.0555 -0.19297
607.056 -0.19241
607.0565 -0.19272
607.057 -0.19246
607.0575 -0.19249
607.058 -0.19264
607.0585 -0.19274
607.059 -0.19251
607.0595 -0.19233
607.06 -0.1923
607.0605 -0.19292
607.061 -0.19271
607.0615 -0.19281
607.062 -0.19259
607.0625 -0.19254
607.063 -0.19269
607.0635 -0.19253
607.064 -0.19308
607.0645 -0.19303
607.065 -0.19319
607.0655 -0.19278
607.066 -0.19285
607.0665 -0.1928
607.067 -0.19316
607.0675 -0.19288
607.068 -0.19283
607.0685 -0.19294
607.069 -0.19267
607.0695 -0.1929
607.07 -0.1927
607.0705 -0.19228
607.071 -0.1931
607.0715 -0.19332
607.072 -0.19294
607.0725 -0.19353
607.073 -0.1929
607.0735 -0.19287
607.074 -0.1926
607.0745 -0.19273
607.075 -0.19328
607.0755 -0.19361
607.076 -0.19321
607.0765 -0.19307
607.077 -0.19303
607.0775 -0.19306
607.078 -0.19306
607.0785 -0.19345
607.079 -0.19331
607.0795 -0.19299
607.08 -0.1932
607.0805 -0.19279
607.081 -0.1928
607.0815 -0.19378
607.082 -0.19355
607.0825 -0.19376
607.083 -0.19331
607.0835 -0.19338
607.084 -0.19335
607.0845 -0.19365
607.085 -0.1929
607.0855 -0.1935
607.086 -0.19308
607.0865 -0.19386
607.087 -0.19424
607.0875 -0.19386
607.088 -0.19346
607.0885 -0.19424
607.089 -0.19359
607.0895 -0.1941
607.09 -0.19344
607.0905 -0.19343
607.091 -0.1942
607.0915 -0.19377
607.092 -0.19356
607.0925 -0.19379
607.093 -0.19297
607.0935 -0.19393
607.094 -0.19374
607.0945 -0.19371
607.095 -0.19405
607.0955 -0.19378
607.096 -0.19439
607.0965 -0.19392
607.097 -0.19454
607.0975 -0.19403
607.098 -0.19449
607.0985 -0.19388
607.099 -0.194
607.0995 -0.1949
607.1 -0.19522
607.1005 -0.19464
607.101 -0.19441
607.1015 -0.19443
607.102 -0.19535
607.1025 -0.19438
607.103 -0.19499
607.1035 -0.19496
607.104 -0.19536
607.1045 -0.19496
607.105 -0.19491
607.1055 -0.19607
607.106 -0.19528
607.1065 -0.1955
607.107 -0.1954
607.1075 -0.19654
607.108 -0.19561
607.1085 -0.19624
607.109 -0.19616
607.1095 -0.19569
607.11 -0.19718
607.1105 -0.19691
607.111 -0.19709
607.1115 -0.19747
607.112 -0.19724
607.1125 -0.19655
607.113 -0.19769
607.1135 -0.19842
607.114 -0.19888
607.1145 -0.19773
607.115 -0.19825
607.1155 -0.19903
607.116 -0.19844
607.1165 -0.19895
607.117 -0.19891
607.1175 -0.2001
607.118 -0.20014
607.1185 -0.20031
607.119 -0.20095
607.1195 -0.20132
607.12 -0.20248
607.1205 -0.20271
607.121 -0.20425
607.1215 -0.20322
607.122 -0.20499
607.1225 -0.20586
607.123 -0.2061
607.1235 -0.2067
607.124 -0.20797
607.1245 -0.20922
607.125 -0.21133
607.1255 -0.21145
607.126 -0.21256
607.1265 -0.21371
607.127 -0.21554
607.1275 -0.21675
607.128 -0.21864
607.1285 -0.22226
607.129 -0.22217
607.1295 -0.22491
607.13 -0.22942
607.1305 -0.23201
607.131 -0.23739
607.1315 -0.23907
607.132 -0.24715
607.1325 -0.24916
607.133 -0.25789
607.1335 -0.26809
607.134 -0.27093
607.1345 -0.28334
607.135 -0.28894
607.1355 -0.29426
607.136 -0.30077
607.1365 -0.30956
607.137 -0.31341
607.1375 -0.31719
607.138 -0.31969
607.1385 -0.32795
607.139 -0.32709
607.1395 -0.33497
607.14 -0.3329
607.1405 -0.33748
607.141 -0.34413
607.1415 -0.35215
607.142 -0.36227
607.1425 -0.36401
607.143 -0.37523
607.1435 -0.38123
607.144 -0.39154
607.1445 -0.40068
607.145 -0.41413
607.1455 -0.43122
607.146 -0.44554
607.1465 -0.46907
607.147 -0.52128
607.1475 -0.5473
607.148 -0.59384
607.1485 -0.65895
607.149 -0.71283
607.1495 -0.81072
607.15 -0.86502
607.1505 -0.93092
607.151 -1.00983
607.1515 -1.03103
607.152 -1.10559
607.1525 -1.14854
607.153 -1.19408
607.1535 -1.19358
607.154 -1.17535
607.1545 -1.18249
607.155 -1.15898
607.1555 -1.15142
607.156 -1.11312
607.1565 -1.07297
607.157 -1.05547
607.1575 -1.00704
607.158 -0.98488
607.1585 -0.93326
607.159 -0.88403
607.1595 -0.8562
607.16 -0.82607
607.1605 -0.78467
607.161 -0.75071
607.1615 -0.72043
607.162 -0.6931
607.1625 -0.65526
607.163 -0.61043
607.1635 -0.59334
607.164 -0.55149
607.1645 -0.52058
607.165 -0.49739
607.1655 -0.46821
607.166 -0.45396
607.1665 -0.43868
607.167 -0.4096
607.1675 -0.40051
607.168 -0.38705
607.1685 -0.37281
607.169 -0.35141
607.1695 -0.33747
607.17 -0.34009
607.1705 -0.32447
607.171 -0.317
607.1715 -0.30772
607.172 -0.29512
607.1725 -0.29462
607.173 -0.29016
607.1735 -0.27942
607.174 -0.27042
607.1745 -0.27274
607.175 -0.26053
607.1755 -0.25672
607.176 -0.2522
607.1765 -0.24703
607.177 -0.24457
607.1775 -0.24099
607.178 -0.24064
607.1785 -0.23358
607.179 -0.22962
607.1795 -0.23087
607.18 -0.2256
607.1805 -0.22574
607.181 -0.22127
607.1815 -0.21815
607.182 -0.21574
607.1825 -0.21541
607.183 -0.21151
607.1835 -0.21103
607.184 -0.2078
607.1845 -0.20702
607.185 -0.20769
607.1855 -0.20445
607.186 -0.20383
607.1865 -0.20206
607.187 -0.20331
607.1875 -0.20128
607.188 -0.20173
607.1885 -0.20006
607.189 -0.1987
607.1895 -0.19892
607.19 -0.19905
607.1905 -0.19837
607.191 -0.19848
607.1915 -0.19791
607.192 -0.19774
607.1925 -0.19743
607.193 -0.19728
607.1935 -0.19781
607.194 -0.19643
607.1945 -0.19693
607.195 -0.19678
607.1955 -0.19674
607.196 -0.19647
607.1965 -0.19634
607.197 -0.19603
607.1975 -0.19651
607.198 -0.1959
607.1985 -0.19558
607.199 -0.19488
607.1995 -0.19561
607.2 -0.19587
607.2005 -0.19544
607.201 -0.19508
607.2015 -0.19502
607.202 -0.19518
607.2025 -0.19483
607.203 -0.19474
607.2035 -0.19494
607.204 -0.19515
607.2045 -0.19522
607.205 -0.19439
607.2055 -0.19481
607.206 -0.19407
607.2065 -0.19491
607.207 -0.19406
607.2075 -0.19428
607.208 -0.19418
607.2085 -0.19428
607.209 -0.19417
607.2095 -0.1945
607.21 -0.19393
607.2105 -0.1939
607.211 -0.194
607.2115 -0.19383
607.212 -0.194
607.2125 -0.19381
607.213 -0.19375
607.2135 -0.19371
607.214 -0.19334
607.2145 -0.1945
607.215 -0.19353
607.2155 -0.19342
607.216 -0.19379
607.2165 -0.19342
607.217 -0.19398
607.2175 -0.19323
607.218 -0.19332
607.2185 -0.19335
607.219 -0.19359
607.2195 -0.19335
607.22 -0.19325
607.2205 -0.19342
607.221 -0.19324
607.2215 -0.19319
607.222 -0.19328
607.2225 -0.19269
607.223 -0.19333
607.2235 -0.19338
607.224 -0.19302
607.2245 -0.19346
607.225 -0.19292
607.2255 -0.19319
607.226 -0.19321
607.2265 -0.19336
607.227 -0.19308
607.2275 -0.19361
607.228 -0.19336
607.2285 -0.1929
607.229 -0.193
607.2295 -0.19305
607.23 -0.19306
607.2305 -0.1931
607.231 -0.1928
607.2315 -0.19316
607.232 -0.19297
607.2325 -0.19299
607.233 -0.19279
607.2335 -0.19309
607.234 -0.19321
607.2345 -0.19272
607.235 -0.19287
607.2355 -0.19292
607.236 -0.19323
607.2365 -0.1928
607.237 -0.19261
607.2375 -0.19301
607.238 -0.1931
607.2385 -0.19289
607.239 -0.19272
607.2395 -0.19286
607.24 -0.19269
607.2405 -0.19243
607.241 -0.19274
607.2415 -0.19234
607.242 -0.19272
607.2425 -0.19262
607.243 -0.19256
607.2435 -0.1931
607.244 -0.19271
607.2445 -0.19295
607.245 -0.19255
607.2455 -0.19304
607.246 -0.19254
607.2465 -0.19247
607.247 -0.19275
607.2475 -0.19273
607.248 -0.19263
607.2485 -0.19266
607.249 -0.19253
607.2495 -0.19267
607.25 -0.19251
