A B
607 -0.1922
607.0005 -0.19195
607.001 -0.1921
607.0015 -0.19199
607.002 -0.19211
607.0025 -0.19206
607.003 -0.19181
607.0035 -0.19178
607.004 -0.1922
607.0045 -0.19191
607.005 -0.19235
607.0055 -0.19199
607.006 -0.19192
607.0065 -0.19224
607.007 -0.19194
607.0075 -0.19216
607.008 -0.19208
607.0085 -0.19201
607.009 -0.19191
607.0095 -0.192
607.01 -0.19185
607.0105 -0.19194
607.011 -0.19213
607.0115 -0.19209
607.012 -0.19192
607.0125 -0.19224
607.013 -0.19202
607.0135 -0.19189
607.014 -0.19204
607.0145 -0.19208
607.015 -0.19217
607.0155 -0.19224
607.016 -0.19222
607.0165 -0.1923
607.017 -0.19195
607.0175 -0.19199
607.018 -0.19197
607.0185 -0.19209
607.019 -0.19191
607.0195 -0.19191
607.02 -0.19192
607.0205 -0.19196
607.021 -0.19197
607.0215 -0.19218
607.022 -0.19196
607.0225 -0.19199
607.023 -0.19208
607.0235 -0.19198
607.024 -0.1921
607.0245 -0.1923
607.025 -0.19208
607.0255 -0.19244
607.026 -0.19175
607.0265 -0.1923
607.027 -0.192
607.0275 -0.19212
607.028 -0.19222
607.0285 -0.1919
607.029 -0.19209
607.0295 -0.1922
607.03 -0.19199
607.0305 -0.19199
607.031 -0.1921
607.0315 -0.19223
607.032 -0.1922
607.0325 -0.19213
607.033 -0.19225
607.0335 -0.19214
607.034 -0.19191
607.0345 -0.19197
607.035 -0.19225
607.0355 -0.19197
607.036 -0.1922
607.0365 -0.19214
607.037 -0.19219
607.0375 -0.19184
607.038 -0.19199
607.0385 -0.19199
607.039 -0.19231
607.0395 -0.19246
607.04 -0.19198
607.0405 -0.19252
607.041 -0.19216
607.0415 -0.19227
607.042 -0.19214
607.0425 -0.1926
607.043 -0.19222
607.0435 -0.19203
607.044 -0.19225
607.0445 -0.19194
607.045 -0.19205
607.0455 -0.19203
607.046 -0.19249
607.0465 -0.19239
607.047 -0.19211
607.0475 -0.19223
607.048 -0.19208
607.0485 -0.19212
607.049 -0.19217
607.0495 -0.19217
607.05 -0.19203
607.0505 -0.19216
607.051 -0.19233
607.0515 -0.19205
607.052 -0.19198
607.0525 -0.19211
607.053 -0.19191
607.0535 -0.19213
607.054 -0.19244
607.0545 -0.1924
607.055 -0.19204
607.0555 -0.19235
607.056 -0.19237
607.0565 -0.19224
607.057 -0.19222
607.0575 -0.19214
607.058 -0.19216
607.0585 -0.19245
607.059 -0.19234
607.0595 -0.19188
607.06 -0.19217
607.0605 -0.19247
607.061 -0.19233
607.0615 -0.19205
607.062 -0.19226
607.0625 -0.19226
607.063 -0.19238
607.0635 -0.19262
607.064 -0.19223
607.0645 -0.19199
607.065 -0.19232
607.0655 -0.19228
607.066 -0.19219
607.0665 -0.19248
607.067 -0.19216
607.0675 -0.19246
607.068 -0.19234
607.0685 -0.19217
607.069 -0.19259
607.0695 -0.19244
607.07 -0.19253
607.0705 -0.1923
607.071 -0.19204
607.0715 -0.1923
607.072 -0.19248
607.0725 -0.19239
607.073 -0.19255
607.0735 -0.19266
607.074 -0.19248
607.0745 -0.19233
607.075 -0.19244
607.0755 -0.19263
607.076 -0.19242
607.0765 -0.19236
607.077 -0.19261
607.0775 -0.19249
607.078 -0.19256
607.0785 -0.19223
607.079 -0.19225
607.0795 -0.19271
607.08 -0.19268
607.0805 -0.19267
607.081 -0.19247
607.0815 -0.19242
607.082 -0.19244
607.0825 -0.19296
607.083 -0.19278
607.0835 -0.19241
607.084 -0.19261
607.0845 -0.19292
607.085 -0.1929
607.0855 -0.19283
607.086 -0.19261
607.0865 -0.19286
607.087 -0.19283
607.0875 -0.19291
607.088 -0.19287
607.0885 -0.19266
607.089 -0.19285
607.0895 -0.19246
607.09 -0.19268
607.0905 -0.19263
607.091 -0.19303
607.0915 -0.19336
607.092 -0.19287
607.0925 -0.19286
607.093 -0.19287
607.0935 -0.19289
607.094 -0.19291
607.0945 -0.193
607.095 -0.19336
607.0955 -0.19319
607.096 -0.1932
607.0965 -0.19293
607.097 -0.19313
607.0975 -0.19347
607.098 -0.19339
607.0985 -0.19368
607.099 -0.19366
607.0995 -0.19356
607.1 -0.19349
607.1005 -0.19377
607.101 -0.19364
607.1015 -0.19407
607.102 -0.19345
607.1025 -0.19342
607.103 -0.19332
607.1035 -0.19458
607.104 -0.19345
607.1045 -0.19419
607.105 -0.19425
607.1055 -0.1947
607.106 -0.19346
607.1065 -0.19475
607.107 -0.19457
607.1075 -0.1956
607.108 -0.19542
607.1085 -0.19454
607.109 -0.19466
607.1095 -0.19527
607.11 -0.19637
607.1105 -0.1958
607.111 -0.19613
607.1115 -0.1967
607.112 -0.19691
607.1125 -0.19629
607.113 -0.19671
607.1135 -0.19693
607.114 -0.19707
607.1145 -0.1974
607.115 -0.19902
607.1155 -0.19884
607.116 -0.19944
607.1165 -0.20009
607.117 -0.20017
607.1175 -0.20133
607.118 -0.20076
607.1185 -0.20184
607.119 -0.20325
607.1195 -0.20348
607.12 -0.20394
607.1205 -0.20567
607.121 -0.20627
607.1215 -0.20851
607.122 -0.20883
607.1225 -0.20904
607.123 -0.21103
607.1235 -0.21276
607.124 -0.21116
607.1245 -0.21483
607.125 -0.21551
607.1255 -0.21641
607.126 -0.22173
607.1265 -0.22306
607.127 -0.22901
607.1275 -0.23112
607.128 -0.23179
607.1285 -0.2339
607.129 -0.2379
607.1295 -0.24166
607.13 -0.24648
607.1305 -0.24725
607.131 -0.25967
607.1315 -0.26239
607.132 -0.2799
607.1325 -0.28812
607.133 -0.2993
607.1335 -0.32881
607.134 -0.34219
607.1345 -0.358
607.135 -0.37749
607.1355 -0.38671
607.136 -0.40884
607.1365 -0.4211
607.137 -0.43448
607.1375 -0.43871
607.138 -0.4474
607.1385 -0.4479
607.139 -0.45091
607.1395 -0.45038
607.14 -0.44328
607.1405 -0.43987
607.141 -0.43833
607.1415 -0.42601
607.142 -0.41909
607.1425 -0.40585
607.143 -0.39356
607.1435 -0.38834
607.144 -0.3684
607.1445 -0.36378
607.145 -0.35904
607.1455 -0.33861
607.146 -0.33467
607.1465 -0.32159
607.147 -0.31078
607.1475 -0.30039
607.148 -0.29675
607.1485 -0.28317
607.149 -0.2765
607.1495 -0.27039
607.15 -0.26351
607.1505 -0.25898
607.151 -0.25554
607.1515 -0.2513
607.152 -0.24754
607.1525 -0.24338
607.153 -0.24478
607.1535 -0.23727
607.154 -0.23921
607.1545 -0.23689
607.155 -0.23587
607.1555 -0.23295
607.156 -0.2331
607.1565 -0.23115
607.157 -0.23384
607.1575 -0.23286
607.158 -0.23383
607.1585 -0.23863
607.159 -0.23701
607.1595 -0.23808
607.16 -0.23998
607.1605 -0.24316
607.161 -0.24022
607.1615 -0.24371
607.162 -0.24613
607.1625 -0.24751
607.163 -0.2507
607.1635 -0.25476
607.164 -0.2555
607.1645 -0.26223
607.165 -0.26998
607.1655 -0.28238
607.166 -0.29236
607.1665 -0.30476
607.167 -0.32493
607.1675 -0.33912
607.168 -0.35428
607.1685 -0.36416
607.169 -0.38788
607.1695 -0.40599
607.17 -0.4142
607.1705 -0.42395
607.171 -0.43805
607.1715 -0.43969
607.172 -0.44865
607.1725 -0.44914
607.173 -0.45058
607.1735 -0.4468
607.174 -0.44063
607.1745 -0.42902
607.175 -0.42227
607.1755 -0.41948
607.176 -0.40337
607.1765 -0.39926
607.177 -0.39271
607.1775 -0.38206
607.178 -0.37682
607.1785 -0.36028
607.179 -0.34407
607.1795 -0.33828
607.18 -0.32664
607.1805 -0.31601
607.181 -0.30548
607.1815 -0.2904
607.182 -0.28672
607.1825 -0.27611
607.183 -0.2642
607.1835 -0.26265
607.184 -0.25241
607.1845 -0.24294
607.185 -0.23648
607.1855 -0.22932
607.186 -0.22727
607.1865 -0.22311
607.187 -0.21605
607.1875 -0.21591
607.188 -0.21065
607.1885 -0.20886
607.189 -0.20775
607.1895 -0.20578
607.19 -0.20469
607.1905 -0.20156
607.191 -0.20161
607.1915 -0.19981
607.192 -0.19891
607.1925 -0.19854
607.193 -0.19873
607.1935 -0.19713
607.194 -0.19718
607.1945 -0.19658
607.195 -0.19609
607.1955 -0.19734
607.196 -0.19682
607.1965 -0.1959
607.197 -0.1957
607.1975 -0.196
607.198 -0.195
607.1985 -0.19486
607.199 -0.19513
607.1995 -0.19505
607.2 -0.19443
607.2005 -0.19471
607.201 -0.19455
607.2015 -0.19423
607.202 -0.19365
607.2025 -0.19486
607.203 -0.19543
607.2035 -0.19378
607.204 -0.1942
607.2045 -0.19372
607.205 -0.19417
607.2055 -0.19379
607.206 -0.19454
607.2065 -0.19394
607.207 -0.1936
607.2075 -0.19392
607.208 -0.19324
607.2085 -0.19324
607.209 -0.19375
607.2095 -0.19354
607.21 -0.19303
607.2105 -0.193
607.211 -0.19359
607.2115 -0.19347
607.212 -0.19299
607.2125 -0.1933
607.213 -0.1931
607.2135 -0.19305
607.214 -0.19313
607.2145 -0.1935
607.215 -0.1928
607.2155 -0.19273
607.216 -0.19308
607.2165 -0.19313
607.217 -0.1931
607.2175 -0.19272
607.218 -0.19295
607.2185 -0.19287
607.219 -0.19269
607.2195 -0.19268
607.22 -0.19261
607.2205 -0.19308
607.221 -0.19318
607.2215 -0.19279
607.222 -0.19283
607.2225 -0.19281
607.223 -0.19294
607.2235 -0.19274
607.224 -0.19261
607.2245 -0.19255
607.225 -0.19308
607.2255 -0.19252
607.226 -0.19335
607.2265 -0.1926
607.227 -0.19262
607.2275 -0.19232
607.228 -0.1924
607.2285 -0.19277
607.229 -0.19247
607.2295 -0.19307
607.23 -0.19247
607.2305 -0.19221
607.231 -0.19258
607.2315 -0.19258
607.232 -0.19244
607.2325 -0.19252
607.233 -0.19241
607.2335 -0.19249
607.234 -0.19272
607.2345 -0.19238
607.235 -0.19244
607.2355 -0.1923
607.236 -0.19211
607.2365 -0.19249
607.237 -0.19256
607.2375 -0.19232
607.238 -0.19274
607.2385 -0.19252
607.239 -0.1922
607.2395 -0.19219
607.24 -0.19212
607.2405 -0.19246
607.241 -0.19238
607.2415 -0.1923
607.242 -0.19225
607.2425 -0.19275
607.243 -0.19242
607.2435 -0.19237
607.244 -0.19225
607.2445 -0.19217
607.245 -0.19229
607.2455 -0.19217
607.246 -0.19228
607.2465 -0.19235
607.247 -0.19211
607.2475 -0.19242
607.248 -0.1925
607.2485 -0.19269
607.249 -0.19202
607.2495 -0.19213
607.25 -0.19235
