A B
435.45 -0.19461
435.4505 -0.19435
435.451 -0.19418
435.4515 -0.19452
435.452 -0.19376
435.4525 -0.19416
435.453 -0.19422
435.4535 -0.19368
435.454 -0.19442
435.4545 -0.19399
435.455 -0.19432
435.4555 -0.19428
435.456 -0.19446
435.4565 -0.19464
435.457 -0.19457
435.4575 -0.19463
435.458 -0.19521
435.4585 -0.19435
435.459 -0.1953
435.4595 -0.19449
435.46 -0.19519
435.4605 -0.19519
435.461 -0.195
435.4615 -0.19492
435.462 -0.19533
435.4625 -0.19601
435.463 -0.19547
435.4635 -0.19467
435.464 -0.19563
435.4645 -0.19597
435.465 -0.19549
435.4655 -0.19585
435.466 -0.19539
435.4665 -0.19599
435.467 -0.1966
435.4675 -0.19624
435.468 -0.19561
435.4685 -0.19546
435.469 -0.19669
435.4695 -0.19633
435.47 -0.19654
435.4705 -0.19723
435.471 -0.19669
435.4715 -0.19665
435.472 -0.19744
435.4725 -0.1973
435.473 -0.19676
435.4735 -0.19865
435.474 -0.19646
435.4745 -0.1981
435.475 -0.19727
435.4755 -0.1989
435.476 -0.19887
435.4765 -0.19791
435.477 -0.19841
435.4775 -0.1983
435.478 -0.19879
435.4785 -0.20012
435.479 -0.20036
435.4795 -0.19982
435.48 -0.19969
435.4805 -0.19931
435.481 -0.20168
435.4815 -0.20152
435.482 -0.20092
435.4825 -0.20092
435.483 -0.2012
435.4835 -0.20217
435.484 -0.20245
435.4845 -0.20365
435.485 -0.20411
435.4855 -0.20655
435.486 -0.20437
435.4865 -0.20508
435.487 -0.20805
435.4875 -0.20772
435.488 -0.20677
435.4885 -0.2094
435.489 -0.21174
435.4895 -0.21146
435.49 -0.21122
435.4905 -0.21463
435.491 -0.21296
435.4915 -0.2161
435.492 -0.2177
435.4925 -0.21623
435.493 -0.21969
435.4935 -0.2235
435.494 -0.22364
435.4945 -0.22788
435.495 -0.23007
435.4955 -0.23127
435.496 -0.23609
435.4965 -0.23947
435.497 -0.24282
435.4975 -0.24401
