#A #B
435.45 -0.19347
435.4505 -0.19385
435.451 -0.19368
435.4515 -0.19378
435.452 -0.19364
435.4525 -0.1933
435.453 -0.19403
435.4535 -0.19399
435.454 -0.1936
435.4545 -0.19443
435.455 -0.19351
435.4555 -0.19464
435.456 -0.19399
435.4565 -0.19379
435.457 -0.1944
435.4575 -0.19359
435.458 -0.19401
435.4585 -0.1941
435.459 -0.19458
435.4595 -0.19367
435.46 -0.19402
435.4605 -0.19457
435.461 -0.19427
435.4615 -0.19479
435.462 -0.19441
435.4625 -0.19425
435.463 -0.19461
435.4635 -0.19466
435.464 -0.1949
435.4645 -0.1948
435.465 -0.19472
435.4655 -0.1957
435.466 -0.19459
435.4665 -0.19486
435.467 -0.19491
435.4675 -0.19446
435.468 -0.19521
435.4685 -0.19532
435.469 -0.19489
435.4695 -0.19523
435.47 -0.19602
435.4705 -0.19621
435.471 -0.19585
435.4715 -0.19543
435.472 -0.19658
435.4725 -0.19568
435.473 -0.19635
435.4735 -0.19601
435.474 -0.1964
435.4745 -0.19705
435.475 -0.19676
435.4755 -0.19727
435.476 -0.19666
435.4765 -0.19633
435.477 -0.1979
435.4775 -0.19749
435.478 -0.19843
435.4785 -0.19746
435.479 -0.19789
435.4795 -0.19741
435.48 -0.19821
435.4805 -0.19838
435.481 -0.19852
435.4815 -0.19804
435.482 -0.19878
435.4825 -0.19977
435.483 -0.20008
435.4835 -0.20012
435.484 -0.20055
435.4845 -0.20043
435.485 -0.20106
435.4855 -0.20217
435.486 -0.20254
435.4865 -0.20291
435.487 -0.20384
435.4875 -0.20365
435.488 -0.2052
435.4885 -0.20492
435.489 -0.20667
435.4895 -0.2054
435.49 -0.20772
435.4905 -0.20839
435.491 -0.20859
435.4915 -0.20936
435.492 -0.21189
435.4925 -0.21255
435.493 -0.21167
435.4935 -0.2171
435.494 -0.21745
435.4945 -0.2167
435.495 -0.21965
435.4955 -0.22166
435.496 -0.22268
435.4965 -0.22545
435.497 -0.22979
435.4975 -0.23419
435.498 -0.23503
435.4985 -0.23595
435.499 -0.24335
435.4995 -0.24235
435.5 -0.25076
435.5005 -0.25272
435.501 -0.25394
