#A #B
435.45 -0.19333
435.4505 -0.19317
435.451 -0.19337
435.4515 -0.19372
435.452 -0.19369
435.4525 -0.19335
435.453 -0.19364
435.4535 -0.19361
435.454 -0.19374
435.4545 -0.19379
435.455 -0.19339
435.4555 -0.19335
435.456 -0.19371
435.4565 -0.19368
435.457 -0.19367
435.4575 -0.19346
435.458 -0.1943
435.4585 -0.19373
435.459 -0.19347
435.4595 -0.19356
435.46 -0.19421
435.4605 -0.19395
435.461 -0.1935
435.4615 -0.19404
435.462 -0.19382
435.4625 -0.19357
435.463 -0.19459
435.4635 -0.19471
435.464 -0.19465
435.4645 -0.19381
435.465 -0.194
435.4655 -0.19397
435.466 -0.19422
435.4665 -0.19385
435.467 -0.19422
435.4675 -0.19432
435.468 -0.19402
435.4685 -0.19477
435.469 -0.19511
435.4695 -0.19466
435.47 -0.19488
435.4705 -0.1943
435.471 -0.19467
435.4715 -0.19484
435.472 -0.19468
435.4725 -0.19454
435.473 -0.19522
435.4735 -0.19443
435.474 -0.19505
435.4745 -0.19501
435.475 -0.19555
435.4755 -0.19563
435.476 -0.19535
435.4765 -0.19477
435.477 -0.19525
435.4775 -0.19604
435.478 -0.19647
435.4785 -0.19552
435.479 -0.19615
435.4795 -0.19625
435.48 -0.19665
435.4805 -0.1966
435.481 -0.19615
435.4815 -0.19762
435.482 -0.19735
435.4825 -0.19627
435.483 -0.19737
435.4835 -0.19651
435.484 -0.19748
435.4845 -0.1983
435.485 -0.19856
435.4855 -0.19905
435.486 -0.19789
435.4865 -0.19766
435.487 -0.19944
435.4875 -0.19923
435.488 -0.19903
435.4885 -0.19968
435.489 -0.20087
435.4895 -0.20131
435.49 -0.20145
435.4905 -0.2008
435.491 -0.20194
435.4915 -0.20187
435.492 -0.20345
435.4925 -0.20492
435.493 -0.20542
435.4935 -0.20527
435.494 -0.2036
435.4945 -0.2074
435.495 -0.20818
435.4955 -0.20757
435.496 -0.20993
435.4965 -0.21141
435.497 -0.2131
435.4975 -0.21368
435.498 -0.21513
435.4985 -0.21634
435.499 -0.21986
435.4995 -0.22154
435.5 -0.22234
435.5005 -0.22743
435.501 -0.22927
435.5015 -0.23254
435.502 -0.23474
435.5025 -0.23724
435.503 -0.23742
435.5035 -0.24226
435.504 -0.24738
435.5045 -0.2494
435.505 -0.25743
435.5055 -0.26285
435.506 -0.26461
435.5065 -0.27348
435.507 -0.28363
435.5075 -0.27998
435.508 -0.29271
435.5085 -0.29264
435.509 -0.30037
435.5095 -0.31047
435.51 -0.31879
435.5105 -0.32258
435.511 -0.34019
435.5115 -0.34788
435.512 -0.36685
435.5125 -0.3741
435.513 -0.38679
435.5135 -0.40584
435.514 -0.42333
435.5145 -0.44167
435.515 -0.47182
435.5155 -0.48405
435.516 -0.51133
435.5165 -0.55626
435.517 -0.57249
435.5175 -0.61177
435.518 -0.64309
435.5185 -0.66757
435.519 -0.71374
435.5195 -0.73737
435.52 -0.77188
435.5205 -0.80018
435.521 -0.8277
435.5215 -0.87174
435.522 -0.89283
435.5225 -0.91845
435.523 -0.95065
435.5235 -0.96409
435.524 -0.98009
435.5245 -0.99452
435.525 -1.0104
435.5255 -1.02011
435.526 -1.03397
435.5265 -1.03759
435.527 -1.05057
435.5275 -1.05781
435.528 -1.04318
435.5285 -1.04581
435.529 -1.03211
435.5295 -1.0214
435.53 -1.02074
435.5305 -0.99468
435.531 -0.97469
435.5315 -0.95847
435.532 -0.93739
435.5325 -0.90964
435.533 -0.89589
435.5335 -0.86735
435.534 -0.83978
435.5345 -0.80708
435.535 -0.76793
435.5355 -0.767
435.536 -0.7324
435.5365 -0.71928
435.537 -0.69486
435.5375 -0.67048
435.538 -0.65109
435.5385 -0.6261
435.539 -0.59068
435.5395 -0.5882
435.54 -0.56245
435.5405 -0.5545
435.541 -0.5338
435.5415 -0.51733
435.542 -0.50243
435.5425 -0.47964
435.543 -0.45684
435.5435 -0.44568
435.544 -0.43267
435.5445 -0.41554
435.545 -0.40201
435.5455 -0.39517
435.546 -0.38176
435.5465 -0.37967
435.547 -0.35803
435.5475 -0.35586
435.548 -0.34428
435.5485 -0.33186
435.549 -0.32719
435.5495 -0.31366
435.55 -0.30448
435.5505 -0.30334
435.551 -0.29007
435.5515 -0.28772
435.552 -0.27709
435.5525 -0.27339
435.553 -0.26827
435.5535 -0.26002
435.554 -0.25475
435.5545 -0.25078
435.555 -0.24414
435.5555 -0.24274
435.556 -0.23754
435.5565 -0.23164
435.557 -0.22867
435.5575 -0.22377
435.558 -0.22194
435.5585 -0.22016
435.559 -0.21811
435.5595 -0.21717
435.56 -0.21607
435.5605 -0.21343
435.561 -0.20832
435.5615 -0.20787
435.562 -0.20834
435.5625 -0.20765
435.563 -0.2054
435.5635 -0.20653
435.564 -0.20458
