#SIGNAL_1(X)	#SIGNAL_1(Y)
1	-1.2066471
2	-1.243058
3	-1.2187312
4	-1.216584
5	-1.2327673
6	-1.2166938
7	-1.2177369
8	-1.2178955
9	-1.2294855
10	-1.2482735
11	-1.2248373
12	-1.2296807
13	-1.2248556
14	-1.2021697
15	-1.2236478
16	-1.1971372
17	-1.2184994
18	-1.2338348
19	-1.2020172
20	-1.2121615
21	-1.2024503
22	-1.2233794
23	-1.2299613
24	-1.2105816
25	-1.2197621
26	-1.2080623
27	-1.2413622
28	-1.2193107
29	-1.2369214
30	-1.2249837
31	-1.2285278
32	-1.1961612
33	-1.2059212
34	-1.2139793
35	-1.2249166
36	-1.1879628
37	-1.2087943
38	-1.2149492
39	-1.2460287
40	-1.2061164
41	-1.2076963
42	-1.2287474
43	-1.2251484
44	-1.2451869
45	-1.2280459
46	-1.2237881
47	-1.2157849
48	-1.2177308
49	-1.2250264
50	-1.2406546
51	-1.2422162
52	-1.2156995
53	-1.2214762
54	-1.1918546
55	-1.2197194
56	-1.2059761
57	-1.2149126
58	-1.195966
59	-1.2255144
60	-1.2043962
61	-1.184742
62	-1.2170537
63	-1.2070131
64	-1.2108927
65	-1.2195303
66	-1.1882617
67	-1.1966675
68	-1.2446501
69	-1.2163461
70	-1.1637336
71	-1.1981986
72	-1.2178772
73	-1.2116247
74	-1.2067691
75	-1.2184567
76	-1.198467
77	-1.2075865
78	-1.2125702
79	-1.2302053
80	-1.2090566
81	-1.2102461
82	-1.2146747
83	-1.2151871
84	-1.2271919
85	-1.1952584
86	-1.2106365
87	-1.2042193
88	-1.2282716
89	-1.2059822
90	-1.2255571
91	-1.2236966
92	-1.2174136
93	-1.1794777
94	-1.2147784
95	-1.2087516
96	-1.1907993
97	-1.2169256
98	-1.2230378
99	-1.2306445
100	-1.2386538
101	-1.1821068
102	-1.1884691
103	-1.2069399
104	-1.1955024
105	-1.2157849
106	-1.212802
107	-1.1999615
108	-1.1627027
109	-1.2210675
110	-1.1912873
111	-1.2340422
112	-1.1946179
113	-1.2331394
114	-1.1989489
115	-1.1787213
116	-1.2150712
117	-1.2373057
118	-1.2027126
119	-1.2166877
120	-1.2145771
121	-1.1873528
122	-1.2022063
123	-1.1560049
124	-1.2269784
125	-1.2287291
126	-1.2111672
127	-1.2022002
128	-1.2068118
129	-1.2330357
130	-1.2123079
131	-1.238361
132	-1.2163339
133	-1.2277653
134	-1.1795204
135	-1.2308702
136	-1.1848823
137	-1.2052441
138	-1.2078549
139	-1.2116674
140	-1.2143514
141	-1.1895793
142	-1.1880177
143	-1.233664
144	-1.1967895
145	-1.1864012
146	-1.221037
147	-1.2163339
148	-1.2243554
149	-1.2054576
150	-1.2175173
151	-1.2207442
152	-1.1856143
153	-1.2342496
154	-1.2469071
155	-1.2179382
156	-1.1935565
157	-1.1841015
158	-1.1975947
159	-1.1775562
160	-1.2156507
161	-1.2277714
162	-1.2148516
163	-1.2333407
164	-1.2099167
165	-1.1964174
166	-1.1911958
167	-1.2367018
168	-1.2139549
169	-1.20048
170	-1.2108988
171	-1.2057809
172	-1.1992539
173	-1.2250508
174	-1.1933491
175	-1.2118687
176	-1.1749576
177	-1.193953
178	-1.2186885
179	-1.1900917
180	-1.1905614
181	-1.2151932
182	-1.1957464
183	-1.2034934
184	-1.1927452
185	-1.2211224
186	-1.2325172
187	-1.2013157
188	-1.2351158
189	-1.2176698
190	-1.1921535
191	-1.1957037
192	-1.2126983
193	-1.2095568
194	-1.2019562
195	-1.2168402
196	-1.2299125
197	-1.1945813
198	-1.2131436
199	-1.1684794
200	-1.1836867
201	-1.2247824
202	-1.2060615
203	-1.2081111
204	-1.204506
205	-1.2206405
206	-1.1915191
207	-1.1880726
208	-1.2161875
209	-1.2164864
210	-1.2231659
211	-1.192184
212	-1.1948924
213	-1.2075865
214	-1.2075987
215	-1.2249776
216	-1.1780381
217	-1.2105267
218	-1.2113929
219	-1.2092091
220	-1.2282411
221	-1.1986561
222	-1.2038228
223	-1.1897867
224	-1.2026821
225	-1.1859193
226	-1.2098801
227	-1.2084954
228	-1.196332
229	-1.2080867
230	-1.1900673
231	-1.2075255
232	-1.2143148
233	-1.2106548
234	-1.1889754
235	-1.1914642
236	-1.210728
237	-1.1855899
238	-1.1649719
239	-1.1972409
240	-1.1671191
241	-1.2148882
242	-1.2204026
243	-1.1903845
244	-1.1903113
245	-1.1919095
246	-1.2025418
247	-1.2050367
248	-1.178459
249	-1.2109293
250	-1.1867977
251	-1.2041644
252	-1.1916472
253	-1.208227
254	-1.1961246
255	-1.2423077
256	-1.2402032
257	-1.2171269
258	-1.1915374
259	-1.2019684
260	-1.2064458
261	-1.222013
262	-1.2057504
263	-1.174677
264	-1.2245445
265	-1.2297783
266	-1.2051648
267	-1.2166328
268	-1.1754822
269	-1.1874138
270	-1.1903784
271	-1.2043413
272	-1.2035788
273	-1.2022612
274	-1.1871759
275	-1.2178345
276	-1.1888412
277	-1.2076536
278	-1.2282289
279	-1.218719
280	-1.1969054
281	-1.2038655
282	-1.1782638
283	-1.1703582
284	-1.2096605
285	-1.2037679
286	-1.1968566
287	-1.2004434
288	-1.2083124
289	-1.1918302
290	-1.2188227
291	-1.1871088
292	-1.2323769
293	-1.2044023
294	-1.1953682
295	-1.1906834
296	-1.21756
297	-1.2017366
298	-1.1834915
299	-1.2234465
300	-1.2147052
301	-1.2073852
302	-1.2233123
303	-1.2009802
304	-1.1940567
305	-1.2208784
306	-1.2062628
307	-1.1984731
308	-1.1975093
309	-1.1919156
310	-1.220915
311	-1.2198475
312	-1.2007545
313	-1.2107158
314	-1.1945264
315	-1.1945996
316	-1.2169866
317	-1.2013035
318	-1.2224156
319	-1.1944532
320	-1.2051282
321	-1.1919888
322	-1.1938798
323	-1.2005471
324	-1.1878042
325	-1.1654782
326	-1.1975215
327	-1.1883715
328	-1.2090139
329	-1.1896952
330	-1.1886521
331	-1.1993759
332	-1.2123872
333	-1.1967956
334	-1.2103193
335	-1.1955573
336	-1.2189569
337	-1.1763057
338	-1.2010229
339	-1.2124421
340	-1.2347681
341	-1.1935565
342	-1.1712061
343	-1.1925439
344	-1.2079952
345	-1.2142965
346	-1.2127654
347	-1.1968749
348	-1.1840649
349	-1.2070436
350	-1.1948863
351	-1.2199268
352	-1.1668385
353	-1.2367506
354	-1.1890852
355	-1.192733
356	-1.1866757
357	-1.2287779
358	-1.2245201
359	-1.2212261
360	-1.2261488
361	-1.1890547
362	-1.2126617
363	-1.2218056
364	-1.2108988
365	-1.2324135
366	-1.2016512
367	-1.1995528
368	-1.2175722
369	-1.2109049
370	-1.1882434
371	-1.2227206
372	-1.2313094
373	-1.1895366
374	-1.2077634
375	-1.2293086
376	-1.205421
377	-1.2258438
378	-1.1966309
379	-1.2161631
380	-1.1891157
381	-1.203774
382	-1.2096483
383	-1.2118016
384	-1.2068606
385	-1.2212871
386	-1.2409657
387	-1.2137292
388	-1.2039265
389	-1.2113258
390	-1.2200549
391	-1.2058846
392	-1.2119419
393	-1.2275518
394	-1.2218971
395	-1.2003275
396	-1.1939652
397	-1.2119419
398	-1.2332797
399	-1.2029322
400	-1.2421796
401	-1.2258926
402	-1.228174
403	-1.2040546
404	-1.2241175
405	-1.2196035
406	-1.2084466
407	-1.2253375
408	-1.2232879
409	-1.2116796
410	-1.2126617
411	-1.2289853
412	-1.2332675
413	-1.2222082
414	-1.1868953
415	-1.2386477
416	-1.1927513
417	-1.2122286
418	-1.2238796
419	-1.1897196
420	-1.225612
421	-1.237629
422	-1.2357441
423	-1.2066044
424	-1.2068911
425	-1.2067264
426	-1.1837355
427	-1.2269845
428	-1.1962222
429	-1.2380926
430	-1.1882922
431	-1.1755859
432	-1.1835769
