#A	#B
655.7	-0.19356
655.7005	-0.19314
655.701	-0.19315
655.7015	-0.19345
655.702	-0.19341
655.7025	-0.19311
655.703	-0.19334
655.7035	-0.19326
655.704	-0.19332
655.7045	-0.19291
655.705	-0.19317
655.7055	-0.19332
655.706	-0.19297
655.7065	-0.19329
655.707	-0.1931
655.7075	-0.193
655.708	-0.19305
655.7085	-0.19303
655.709	-0.19327
655.7095	-0.19295
655.71	-0.19314
655.7105	-0.19312
655.711	-0.19349
655.7115	-0.19291
655.712	-0.19323
655.7125	-0.19296
655.713	-0.19311
655.7135	-0.19322
655.714	-0.19292
655.7145	-0.19317
655.715	-0.19322
655.7155	-0.193
655.716	-0.19328
655.7165	-0.19342
655.717	-0.19325
655.7175	-0.19307
655.718	-0.19316
655.7185	-0.19283
655.719	-0.19332
655.7195	-0.19319
655.72	-0.19299
655.7205	-0.19356
655.721	-0.19351
655.7215	-0.19313
655.722	-0.19346
655.7225	-0.19338
655.723	-0.19332
655.7235	-0.19361
655.724	-0.19307
655.7245	-0.19303
655.725	-0.19322
655.7255	-0.19296
655.726	-0.1934
655.7265	-0.19324
655.727	-0.19311
655.7275	-0.19336
655.728	-0.19317
655.7285	-0.1931
655.729	-0.19296
655.7295	-0.19339
655.73	-0.19346
655.7305	-0.19348
655.731	-0.19311
655.7315	-0.19349
655.732	-0.19331
655.7325	-0.1931
655.733	-0.19301
655.7335	-0.19327
655.734	-0.19336
655.7345	-0.19339
655.735	-0.19322
655.7355	-0.19348
655.736	-0.19305
655.7365	-0.19323
655.737	-0.19337
655.7375	-0.19356
655.738	-0.19327
655.7385	-0.19343
655.739	-0.19304
655.7395	-0.19299
655.74	-0.19327
655.7405	-0.19333
655.741	-0.1933
655.7415	-0.19358
655.742	-0.19377
655.7425	-0.19346
655.743	-0.19354
655.7435	-0.19402
655.744	-0.19353
655.7445	-0.1934
655.745	-0.19343
655.7455	-0.19336
655.746	-0.19378
655.7465	-0.19352
655.747	-0.19341
655.7475	-0.1936
655.748	-0.19344
655.7485	-0.19313
655.749	-0.19368
655.7495	-0.19327
655.75	-0.19324
655.7505	-0.19321
655.751	-0.19389
655.7515	-0.1935
655.752	-0.19342
655.7525	-0.19349
655.753	-0.19372
655.7535	-0.19379
655.754	-0.19335
655.7545	-0.1933
655.755	-0.19377
655.7555	-0.19366
655.756	-0.19386
655.7565	-0.19382
655.757	-0.19373
655.7575	-0.19376
655.758	-0.19366
655.7585	-0.19366
655.759	-0.19384
655.7595	-0.19313
655.76	-0.19386
655.7605	-0.19363
655.761	-0.19382
655.7615	-0.1934
655.762	-0.19389
655.7625	-0.19371
655.763	-0.19371
655.7635	-0.19389
655.764	-0.19362
655.7645	-0.19357
655.765	-0.19346
655.7655	-0.1939
655.766	-0.19371
655.7665	-0.19355
655.767	-0.19344
655.7675	-0.19344
655.768	-0.19383
655.7685	-0.19413
655.769	-0.19378
655.7695	-0.19367
655.77	-0.1941
655.7705	-0.19382
655.771	-0.19355
655.7715	-0.1938
655.772	-0.19363
655.7725	-0.19419
655.773	-0.19413
655.7735	-0.19389
655.774	-0.19402
655.7745	-0.19405
655.775	-0.19385
655.7755	-0.1939
655.776	-0.19372
655.7765	-0.19435
655.777	-0.1941
655.7775	-0.19374
655.778	-0.19411
655.7785	-0.19386
655.779	-0.19417
655.7795	-0.19425
655.78	-0.19394
655.7805	-0.19384
655.781	-0.19424
655.7815	-0.19455
655.782	-0.19392
655.7825	-0.19428
655.783	-0.19392
655.7835	-0.19436
655.784	-0.19414
655.7845	-0.19404
655.785	-0.19366
655.7855	-0.19412
655.786	-0.19406
655.7865	-0.19424
655.787	-0.19471
655.7875	-0.1942
655.788	-0.19482
655.7885	-0.19423
655.789	-0.19434
655.7895	-0.19489
655.79	-0.19427
655.7905	-0.19452
655.791	-0.19478
655.7915	-0.19473
655.792	-0.19466
655.7925	-0.19515
655.793	-0.1946
655.7935	-0.19437
655.794	-0.19475
655.7945	-0.19486
655.795	-0.19457
655.7955	-0.19475
655.796	-0.19591
655.7965	-0.19483
655.797	-0.19478
655.7975	-0.1955
655.798	-0.19494
655.7985	-0.19502
655.799	-0.19556
655.7995	-0.19607
655.8	-0.19535
655.8005	-0.19607
655.801	-0.19519
655.8015	-0.19568
655.802	-0.19558
655.8025	-0.19555
655.803	-0.19577
655.8035	-0.19581
655.804	-0.19643
655.8045	-0.1955
655.805	-0.19629
655.8055	-0.19618
655.806	-0.19612
655.8065	-0.19629
655.807	-0.19708
655.8075	-0.19713
655.808	-0.19665
655.8085	-0.19615
655.809	-0.19682
655.8095	-0.1973
655.81	-0.19752
655.8105	-0.19748
655.811	-0.19833
655.8115	-0.19843
655.812	-0.19839
655.8125	-0.19771
655.813	-0.19853
655.8135	-0.19904
655.814	-0.1996
655.8145	-0.20004
655.815	-0.19856
655.8155	-0.19864
655.816	-0.20055
655.8165	-0.20063
655.817	-0.2005
655.8175	-0.19996
655.818	-0.20059
655.8185	-0.20283
655.819	-0.2021
655.8195	-0.20344
655.82	-0.20331
655.8205	-0.20313
655.821	-0.20398
655.8215	-0.20489
655.822	-0.20513
655.8225	-0.2055
655.823	-0.2056
655.8235	-0.20681
655.824	-0.20728
655.8245	-0.20799
655.825	-0.21063
655.8255	-0.21151
655.826	-0.21284
655.8265	-0.21357
655.827	-0.2151
655.8275	-0.21557
655.828	-0.21725
655.8285	-0.21858
655.829	-0.22142
655.8295	-0.21967
655.83	-0.22393
655.8305	-0.22457
655.831	-0.22577
655.8315	-0.22785
655.832	-0.23109
655.8325	-0.23268
655.833	-0.23217
655.8335	-0.23627
655.834	-0.24047
655.8345	-0.2394
655.835	-0.24692
655.8355	-0.24824
655.836	-0.25065
655.8365	-0.25604
655.837	-0.25812
655.8375	-0.2675
655.838	-0.26989
655.8385	-0.27303
655.839	-0.27377
655.8395	-0.27895
655.84	-0.28544
655.8405	-0.28957
655.841	-0.29991
655.8415	-0.30392
655.842	-0.31104
655.8425	-0.31006
655.843	-0.32811
655.8435	-0.33086
655.844	-0.33238
655.8445	-0.34905
655.845	-0.34852
655.8455	-0.35573
655.846	-0.3658
655.8465	-0.3714
655.847	-0.38475
655.8475	-0.38645
655.848	-0.40546
655.8485	-0.40442
655.849	-0.41298
655.8495	-0.41887
655.85	-0.41855
655.8505	-0.42673
655.851	-0.43059
655.8515	-0.4343
655.852	-0.44587
655.8525	-0.45274
655.853	-0.44908
655.8535	-0.45702
655.854	-0.45942
655.8545	-0.45771
655.855	-0.46059
655.8555	-0.46362
655.856	-0.45884
655.8565	-0.46864
655.857	-0.47116
655.8575	-0.47685
655.858	-0.47806
655.8585	-0.47828
655.859	-0.48361
655.8595	-0.49052
655.86	-0.48791
655.8605	-0.48618
655.861	-0.48074
655.8615	-0.48687
655.862	-0.49396
655.8625	-0.4894
655.863	-0.49828
655.8635	-0.49351
655.864	-0.48233
655.8645	-0.48673
655.865	-0.48147
655.8655	-0.47057
655.866	-0.48608
655.8665	-0.47892
655.867	-0.46856
655.8675	-0.45915
655.868	-0.46033
655.8685	-0.44184
655.869	-0.42942
655.8695	-0.42685
655.87	-0.41332
655.8705	-0.40807
655.871	-0.40381
655.8715	-0.39846
655.872	-0.39361
655.8725	-0.37602
655.873	-0.37145
655.8735	-0.36469
655.874	-0.35512
655.8745	-0.34383
655.875	-0.33615
655.8755	-0.32712
655.876	-0.32107
655.8765	-0.31397
655.877	-0.30776
655.8775	-0.29844
655.878	-0.29691
655.8785	-0.28532
655.879	-0.28932
655.8795	-0.28688
655.88	-0.27981
655.8805	-0.27182
655.881	-0.27274
655.8815	-0.26315
655.882	-0.25909
655.8825	-0.26034
655.883	-0.25208
655.8835	-0.25387
655.884	-0.2479
655.8845	-0.24571
655.885	-0.24205
655.8855	-0.24034
655.886	-0.23761
655.8865	-0.23494
655.887	-0.23223
655.8875	-0.23137
655.888	-0.22862
655.8885	-0.22758
655.889	-0.22475
655.8895	-0.22256
655.89	-0.2207
655.8905	-0.21983
655.891	-0.21615
655.8915	-0.21539
655.892	-0.21646
655.8925	-0.21266
655.893	-0.21486
655.8935	-0.21292
655.894	-0.20926
655.8945	-0.21101
655.895	-0.20813
655.8955	-0.20764
655.896	-0.20594
655.8965	-0.20543
655.897	-0.20569
655.8975	-0.20488
655.898	-0.20341
655.8985	-0.2043
655.899	-0.20248
655.8995	-0.20375
655.9	-0.20242
655.9005	-0.20067
655.901	-0.20054
655.9015	-0.20036
655.902	-0.19976
655.9025	-0.19958
655.903	-0.19874
655.9035	-0.19889
655.904	-0.19913
655.9045	-0.19791
655.905	-0.19793
655.9055	-0.19829
655.906	-0.19866
655.9065	-0.19852
655.907	-0.19769
655.9075	-0.19765
