A	B
485.6	-0.19269
485.6005	-0.19278
485.601	-0.19288
485.6015	-0.19288
485.602	-0.19287
485.6025	-0.19284
485.603	-0.1926
485.6035	-0.19286
485.604	-0.19292
485.6045	-0.19271
485.605	-0.19266
485.6055	-0.19267
485.606	-0.19272
485.6065	-0.19303
485.607	-0.19277
485.6075	-0.19296
485.608	-0.19272
485.6085	-0.193
485.609	-0.19272
485.6095	-0.19298
485.61	-0.19314
485.6105	-0.19274
485.611	-0.19291
485.6115	-0.19276
485.612	-0.19289
485.6125	-0.19258
485.613	-0.19337
485.6135	-0.1928
485.614	-0.1928
485.6145	-0.19288
485.615	-0.19321
485.6155	-0.19291
485.616	-0.19291
485.6165	-0.19306
485.617	-0.19299
485.6175	-0.19274
485.618	-0.19317
485.6185	-0.19278
485.619	-0.19302
485.6195	-0.19325
485.62	-0.19278
485.6205	-0.19294
485.621	-0.19288
485.6215	-0.19306
485.622	-0.19332
485.6225	-0.19323
485.623	-0.19296
485.6235	-0.19323
485.624	-0.193
485.6245	-0.19327
485.625	-0.19288
485.6255	-0.19296
485.626	-0.19293
485.6265	-0.19322
485.627	-0.19321
485.6275	-0.19317
485.628	-0.19281
485.6285	-0.19291
485.629	-0.19273
485.6295	-0.19289
485.63	-0.1933
485.6305	-0.1928
485.631	-0.19313
485.6315	-0.19291
485.632	-0.19297
485.6325	-0.19312
485.633	-0.19277
485.6335	-0.1931
485.634	-0.19293
485.6345	-0.19344
485.635	-0.19305
485.6355	-0.19314
485.636	-0.19324
485.6365	-0.19296
485.637	-0.19316
485.6375	-0.19325
485.638	-0.19289
485.6385	-0.19324
485.639	-0.19286
485.6395	-0.19298
485.64	-0.19298
485.6405	-0.19284
485.641	-0.19282
485.6415	-0.19345
485.642	-0.193
485.6425	-0.19298
485.643	-0.19341
485.6435	-0.19312
485.644	-0.19328
485.6445	-0.19282
485.645	-0.19319
485.6455	-0.19313
485.646	-0.19338
485.6465	-0.19377
485.647	-0.19313
485.6475	-0.19317
485.648	-0.19371
485.6485	-0.19347
485.649	-0.19298
485.6495	-0.1934
485.65	-0.19316
485.6505	-0.19336
485.651	-0.1933
485.6515	-0.19321
485.652	-0.19358
485.6525	-0.19353
485.653	-0.19338
485.6535	-0.19342
485.654	-0.19317
485.6545	-0.19359
485.655	-0.1933
485.6555	-0.19387
485.656	-0.19378
485.6565	-0.19352
485.657	-0.19377
485.6575	-0.1935
485.658	-0.19372
485.6585	-0.1938
485.659	-0.19346
485.6595	-0.19377
485.66	-0.19402
485.6605	-0.19369
485.661	-0.19388
485.6615	-0.19352
485.662	-0.194
485.6625	-0.19469
485.663	-0.19427
485.6635	-0.19437
485.664	-0.19454
485.6645	-0.19435
485.665	-0.19435
485.6655	-0.19428
485.666	-0.19523
485.6665	-0.19465
485.667	-0.1946
485.6675	-0.19533
485.668	-0.19427
485.6685	-0.19468
485.669	-0.19514
485.6695	-0.19524
485.67	-0.19505
485.6705	-0.19478
485.671	-0.19565
485.6715	-0.19549
485.672	-0.19584
485.6725	-0.1968
485.673	-0.19625
485.6735	-0.19654
485.674	-0.19615
485.6745	-0.19702
485.675	-0.19682
485.6755	-0.19727
485.676	-0.19787
485.6765	-0.1969
485.677	-0.19793
485.6775	-0.19855
485.678	-0.19947
485.6785	-0.19945
485.679	-0.20089
485.6795	-0.19992
485.68	-0.2002
485.6805	-0.20111
485.681	-0.20039
485.6815	-0.20245
485.682	-0.20287
485.6825	-0.20392
485.683	-0.20476
485.6835	-0.20536
485.684	-0.20474
485.6845	-0.20685
485.685	-0.20946
485.6855	-0.2085
485.686	-0.21011
485.6865	-0.21286
485.687	-0.21299
485.6875	-0.21403
485.688	-0.21779
485.6885	-0.2188
485.689	-0.21973
485.6895	-0.22476
485.69	-0.222
485.6905	-0.22517
485.691	-0.22804
485.6915	-0.22973
485.692	-0.2334
485.6925	-0.23721
485.693	-0.24249
485.6935	-0.24612
485.694	-0.24775
485.6945	-0.24912
485.695	-0.25118
485.6955	-0.25222
485.696	-0.26038
485.6965	-0.26695
485.697	-0.26852
485.6975	-0.27537
485.698	-0.28087
485.6985	-0.28205
485.699	-0.28722
485.6995	-0.29576
485.7	-0.30024
485.7005	-0.31148
485.701	-0.31743
485.7015	-0.32223
485.702	-0.32488
485.7025	-0.32842
485.703	-0.33125
485.7035	-0.33709
485.704	-0.34119
485.7045	-0.34755
485.705	-0.34689
485.7055	-0.35727
485.706	-0.35816
485.7065	-0.35478
485.707	-0.35872
485.7075	-0.36164
485.708	-0.36221
485.7085	-0.35366
485.709	-0.36684
485.7095	-0.36788
485.71	-0.36664
485.7105	-0.35949
485.711	-0.36063
485.7115	-0.3611
485.712	-0.35734
485.7125	-0.34872
485.713	-0.34761
485.7135	-0.34734
485.714	-0.33598
485.7145	-0.33394
485.715	-0.32376
485.7155	-0.31995
485.716	-0.31804
485.7165	-0.3173
485.717	-0.31266
485.7175	-0.30215
485.718	-0.29642
485.7185	-0.29649
485.719	-0.28946
485.7195	-0.28605
485.72	-0.27972
485.7205	-0.27255
485.721	-0.27153
485.7215	-0.26357
485.722	-0.25876
485.7225	-0.25389
485.723	-0.25045
485.7235	-0.24886
485.724	-0.24768
485.7245	-0.24382
485.725	-0.24047
