A	B
409.6	-0.19271
409.6005	-0.19258
409.601	-0.19246
409.6015	-0.19234
409.602	-0.19251
409.6025	-0.19259
409.603	-0.19266
409.6035	-0.19264
409.604	-0.19251
409.6045	-0.19269
409.605	-0.19269
409.6055	-0.1926
409.606	-0.19255
409.6065	-0.19243
409.607	-0.19258
409.6075	-0.19238
409.608	-0.19254
409.6085	-0.19255
409.609	-0.1925
409.6095	-0.1926
409.61	-0.19274
409.6105	-0.19256
409.611	-0.19256
409.6115	-0.19263
409.612	-0.19289
409.6125	-0.19261
409.613	-0.19241
409.6135	-0.19238
409.614	-0.19246
409.6145	-0.19272
409.615	-0.19278
409.6155	-0.19267
409.616	-0.19233
409.6165	-0.19267
409.617	-0.19267
409.6175	-0.19261
409.618	-0.19272
409.6185	-0.19247
409.619	-0.19261
409.6195	-0.19261
409.62	-0.19251
409.6205	-0.19243
409.621	-0.19266
409.6215	-0.19267
409.622	-0.19256
409.6225	-0.19271
409.623	-0.19263
409.6235	-0.19278
409.624	-0.1925
409.6245	-0.19271
409.625	-0.19284
409.6255	-0.19251
409.626	-0.19238
409.6265	-0.19266
409.627	-0.19263
409.6275	-0.19244
409.628	-0.19241
409.6285	-0.19246
409.629	-0.19258
409.6295	-0.19241
409.63	-0.1925
409.6305	-0.19256
409.631	-0.19261
409.6315	-0.19264
409.632	-0.19271
409.6325	-0.19256
409.633	-0.19278
409.6335	-0.19266
409.634	-0.19258
409.6345	-0.19288
409.635	-0.19247
409.6355	-0.19256
409.636	-0.19254
409.6365	-0.19307
409.637	-0.1925
409.6375	-0.19256
409.638	-0.19267
409.6385	-0.19266
409.639	-0.19242
409.6395	-0.19255
409.64	-0.19236
409.6405	-0.19272
409.641	-0.19251
409.6415	-0.19247
409.642	-0.19283
409.6425	-0.19285
409.643	-0.19272
409.6435	-0.19267
409.644	-0.19252
409.6445	-0.19271
409.645	-0.19224
409.6455	-0.19255
409.646	-0.19276
409.6465	-0.1925
409.647	-0.19238
409.6475	-0.19243
409.648	-0.1927
409.6485	-0.19253
409.649	-0.19273
409.6495	-0.19275
409.65	-0.19253
409.6505	-0.19249
409.651	-0.19254
409.6515	-0.19238
409.652	-0.19263
409.6525	-0.19272
409.653	-0.1926
409.6535	-0.19241
409.654	-0.19269
409.6545	-0.1923
409.655	-0.19253
409.6555	-0.19262
409.656	-0.19231
409.6565	-0.19291
409.657	-0.19238
409.6575	-0.19271
409.658	-0.19241
409.6585	-0.19246
409.659	-0.19252
409.6595	-0.19274
409.66	-0.19279
409.6605	-0.19266
409.661	-0.19247
409.6615	-0.19252
409.662	-0.19254
409.6625	-0.19262
409.663	-0.19242
409.6635	-0.19263
409.664	-0.19261
409.6645	-0.19264
409.665	-0.19261
409.6655	-0.19278
409.666	-0.19265
409.6665	-0.19267
409.667	-0.19247
409.6675	-0.19286
409.668	-0.19275
409.6685	-0.19277
409.669	-0.19244
409.6695	-0.19249
409.67	-0.19249
409.6705	-0.19237
409.671	-0.19275
409.6715	-0.19269
409.672	-0.1927
409.6725	-0.19259
409.673	-0.19256
409.6735	-0.19258
409.674	-0.19249
409.6745	-0.19258
409.675	-0.1925
409.6755	-0.19285
409.676	-0.19242
409.6765	-0.19257
409.677	-0.1928
409.6775	-0.19284
409.678	-0.1925
409.6785	-0.19244
409.679	-0.19267
409.6795	-0.19287
409.68	-0.19242
409.6805	-0.19274
409.681	-0.19263
409.6815	-0.1926
409.682	-0.19276
409.6825	-0.19269
409.683	-0.19277
409.6835	-0.19258
409.684	-0.19278
409.6845	-0.19257
409.685	-0.19239
409.6855	-0.19269
409.686	-0.19244
409.6865	-0.19275
409.687	-0.1926
409.6875	-0.1926
409.688	-0.19261
409.6885	-0.1925
409.689	-0.19274
409.6895	-0.19249
409.69	-0.19258
409.6905	-0.19243
409.691	-0.19276
409.6915	-0.19266
409.692	-0.19269
409.6925	-0.1926
409.693	-0.1928
409.6935	-0.19264
409.694	-0.19258
409.6945	-0.19275
409.695	-0.19275
409.6955	-0.19249
409.696	-0.19289
409.6965	-0.19272
409.697	-0.19256
409.6975	-0.19308
409.698	-0.19285
409.6985	-0.1927
409.699	-0.19291
409.6995	-0.19261
409.7	-0.19302
409.7005	-0.19242
409.701	-0.19289
409.7015	-0.19291
409.702	-0.19275
409.7025	-0.19292
409.703	-0.19255
409.7035	-0.19271
409.704	-0.19279
409.7045	-0.19269
409.705	-0.19272
409.7055	-0.19278
409.706	-0.19244
409.7065	-0.19263
409.707	-0.19292
409.7075	-0.19278
409.708	-0.19258
409.7085	-0.19306
409.709	-0.19296
409.7095	-0.19277
409.71	-0.19274
409.7105	-0.19289
409.711	-0.19324
409.7115	-0.19282
409.712	-0.19289
409.7125	-0.19263
