A	B
433.5	-0.19265
433.5005	-0.19269
433.501	-0.19264
433.5015	-0.19266
433.502	-0.19281
433.5025	-0.1929
433.503	-0.19272
433.5035	-0.19269
433.504	-0.19266
433.5045	-0.19278
433.505	-0.19279
433.5055	-0.19272
433.506	-0.19261
433.5065	-0.19281
433.507	-0.19302
433.5075	-0.19266
433.508	-0.19264
433.5085	-0.19273
433.509	-0.19276
433.5095	-0.19289
433.51	-0.19267
433.5105	-0.19274
433.511	-0.19296
433.5115	-0.19274
433.512	-0.19289
433.5125	-0.1928
433.513	-0.19258
433.5135	-0.193
433.514	-0.1927
433.5145	-0.19253
433.515	-0.19285
433.5155	-0.19278
433.516	-0.19283
433.5165	-0.19272
433.517	-0.19262
433.5175	-0.19269
433.518	-0.1925
433.5185	-0.19283
433.519	-0.19269
433.5195	-0.19296
433.52	-0.19274
433.5205	-0.19253
433.521	-0.19283
433.5215	-0.19305
433.522	-0.19265
433.5225	-0.19258
433.523	-0.19265
433.5235	-0.19331
433.524	-0.1926
433.5245	-0.19283
433.525	-0.19267
433.5255	-0.19245
433.526	-0.19262
433.5265	-0.1929
433.527	-0.19284
433.5275	-0.19296
433.528	-0.19264
433.5285	-0.19314
433.529	-0.19281
433.5295	-0.19292
433.53	-0.19264
433.5305	-0.19295
433.531	-0.19288
433.5315	-0.19292
433.532	-0.19274
433.5325	-0.19292
433.533	-0.19272
433.5335	-0.19297
433.534	-0.19283
433.5345	-0.19277
433.535	-0.19257
433.5355	-0.19286
433.536	-0.19309
433.5365	-0.19336
433.537	-0.19278
433.5375	-0.19286
433.538	-0.19297
433.5385	-0.19345
433.539	-0.19283
433.5395	-0.19286
433.54	-0.19268
433.5405	-0.19296
433.541	-0.19278
433.5415	-0.19293
433.542	-0.19304
433.5425	-0.19307
433.543	-0.19274
433.5435	-0.19283
433.544	-0.19269
433.5445	-0.19307
433.545	-0.19296
433.5455	-0.19286
433.546	-0.19279
433.5465	-0.19273
433.547	-0.193
433.5475	-0.19299
433.548	-0.19314
433.5485	-0.19306
433.549	-0.19309
433.5495	-0.19287
433.55	-0.19308
433.5505	-0.19281
433.551	-0.19294
433.5515	-0.19276
433.552	-0.19294
433.5525	-0.19289
433.553	-0.19325
433.5535	-0.19311
433.554	-0.19287
433.5545	-0.19311
433.555	-0.19314
433.5555	-0.19308
433.556	-0.19309
433.5565	-0.19302
433.557	-0.19307
433.5575	-0.19312
433.558	-0.19311
433.5585	-0.19304
433.559	-0.19316
433.5595	-0.19299
433.56	-0.19319
433.5605	-0.19316
433.561	-0.19303
433.5615	-0.19311
433.562	-0.19311
433.5625	-0.19288
433.563	-0.19299
433.5635	-0.19306
433.564	-0.19317
433.5645	-0.19329
433.565	-0.19302
433.5655	-0.19366
433.566	-0.19305
433.5665	-0.19353
433.567	-0.19321
433.5675	-0.19303
433.568	-0.19313
433.5685	-0.19299
433.569	-0.1929
433.5695	-0.19325
433.57	-0.19346
433.5705	-0.19297
433.571	-0.19322
433.5715	-0.19322
433.572	-0.19316
433.5725	-0.19316
433.573	-0.19333
433.5735	-0.19351
433.574	-0.19353
433.5745	-0.19313
433.575	-0.19316
433.5755	-0.19335
433.576	-0.1936
433.5765	-0.19336
433.577	-0.19382
433.5775	-0.1935
433.578	-0.19344
433.5785	-0.19334
433.579	-0.19333
433.5795	-0.19319
433.58	-0.19364
433.5805	-0.19382
433.581	-0.1933
433.5815	-0.19414
433.582	-0.19405
433.5825	-0.19408
433.583	-0.19349
433.5835	-0.19419
433.584	-0.19399
433.5845	-0.19369
433.585	-0.19356
433.5855	-0.19358
433.586	-0.19363
433.5865	-0.19383
433.587	-0.19403
433.5875	-0.1942
433.588	-0.1942
433.5885	-0.19405
433.589	-0.1938
433.5895	-0.19438
433.59	-0.19415
433.5905	-0.19444
433.591	-0.19474
433.5915	-0.19443
433.592	-0.19424
433.5925	-0.19506
433.593	-0.19455
433.5935	-0.19472
433.594	-0.19444
433.5945	-0.19473
433.595	-0.19498
433.5955	-0.19419
433.596	-0.19514
433.5965	-0.19449
433.597	-0.19491
433.5975	-0.1948
433.598	-0.19566
433.5985	-0.1958
433.599	-0.19576
433.5995	-0.19605
433.6	-0.19598
433.6005	-0.19602
433.601	-0.19583
433.6015	-0.19683
433.602	-0.19683
433.6025	-0.1958
433.603	-0.19654
433.6035	-0.19713
433.604	-0.19805
433.6045	-0.19713
433.605	-0.19708
433.6055	-0.19717
433.606	-0.19796
433.6065	-0.19774
433.607	-0.19802
433.6075	-0.19862
433.608	-0.20025
433.6085	-0.20037
433.609	-0.20103
433.6095	-0.20223
433.61	-0.20139
433.6105	-0.20123
433.611	-0.20257
433.6115	-0.20337
433.612	-0.20434
433.6125	-0.20616
433.613	-0.20805
433.6135	-0.2078
433.614	-0.20918
433.6145	-0.21028
433.615	-0.21239
433.6155	-0.21147
433.616	-0.21245
433.6165	-0.21852
433.617	-0.21736
433.6175	-0.2188
433.618	-0.22334
433.6185	-0.22407
433.619	-0.22782
433.6195	-0.22599
433.62	-0.23282
433.6205	-0.2372
433.621	-0.238
433.6215	-0.24129
433.622	-0.24175
433.6225	-0.24421
433.623	-0.25191
433.6235	-0.25828
433.624	-0.25924
433.6245	-0.27124
433.625	-0.275
433.6255	-0.28237
433.626	-0.28585
433.6265	-0.29224
433.627	-0.30076
433.6275	-0.30133
433.628	-0.30793
433.6285	-0.32291
433.629	-0.32156
433.6295	-0.32936
433.63	-0.33911
433.6305	-0.34501
433.631	-0.35712
433.6315	-0.36322
433.632	-0.36179
433.6325	-0.38148
433.633	-0.37525
433.6335	-0.38526
433.634	-0.38783
433.6345	-0.38845
433.635	-0.40016
433.6355	-0.39594
433.636	-0.39585
433.6365	-0.39488
433.637	-0.39754
433.6375	-0.39706
433.638	-0.40213
433.6385	-0.40458
433.639	-0.40872
433.6395	-0.39915
433.64	-0.39311
433.6405	-0.38811
433.641	-0.38871
433.6415	-0.3865
433.642	-0.38238
433.6425	-0.37447
433.643	-0.36984
433.6435	-0.36359
433.644	-0.35858
433.6445	-0.34832
433.645	-0.34306
433.6455	-0.33504
433.646	-0.32993
433.6465	-0.32276
433.647	-0.32007
433.6475	-0.31883
433.648	-0.30541
433.6485	-0.29129
433.649	-0.29855
433.6495	-0.28654
433.65	-0.27701
433.6505	-0.27626
433.651	-0.27338
433.6515	-0.2661
433.652	-0.25915
433.6525	-0.25441
433.653	-0.25748
433.6535	-0.24945
433.654	-0.25002
433.6545	-0.24333
433.655	-0.23918
433.6555	-0.23888
433.656	-0.23554
433.6565	-0.2323
433.657	-0.23259
433.6575	-0.23015
433.658	-0.22746
433.6585	-0.22618
433.659	-0.22327
433.6595	-0.21978
433.66	-0.21949
433.6605	-0.21703
433.661	-0.21599
433.6615	-0.21307
433.662	-0.21309
433.6625	-0.21223
