#A	#B
632.4	-0.19241
632.4005	-0.19247
632.401	-0.1924
632.4015	-0.19244
632.402	-0.19228
632.4025	-0.19239
632.403	-0.19231
632.4035	-0.19261
632.404	-0.19231
632.4045	-0.19238
632.405	-0.19236
632.4055	-0.19229
632.406	-0.19232
632.4065	-0.1922
632.407	-0.19243
632.4075	-0.19227
632.408	-0.19236
632.4085	-0.1924
632.409	-0.19222
632.4095	-0.19248
632.41	-0.19238
632.4105	-0.19242
632.411	-0.19216
632.4115	-0.19213
632.412	-0.19231
632.4125	-0.19238
632.413	-0.19226
632.4135	-0.19235
632.414	-0.19217
632.4145	-0.19212
632.415	-0.19242
632.4155	-0.1923
632.416	-0.19214
632.4165	-0.1925
632.417	-0.19246
632.4175	-0.19253
632.418	-0.1923
632.4185	-0.19236
632.419	-0.19231
632.4195	-0.19234
632.42	-0.19279
632.4205	-0.19235
632.421	-0.1924
632.4215	-0.19219
632.422	-0.19246
632.4225	-0.19235
632.423	-0.19249
632.4235	-0.19222
632.424	-0.19239
632.4245	-0.19244
632.425	-0.19246
632.4255	-0.19211
632.426	-0.19224
632.4265	-0.19228
632.427	-0.19227
632.4275	-0.19234
632.428	-0.19236
632.4285	-0.19226
632.429	-0.19266
632.4295	-0.19239
632.43	-0.19231
632.4305	-0.1923
632.431	-0.19233
632.4315	-0.19229
632.432	-0.19227
632.4325	-0.19237
632.433	-0.19231
632.4335	-0.19242
632.434	-0.19253
632.4345	-0.19263
632.435	-0.19229
632.4355	-0.19242
632.436	-0.19249
632.4365	-0.19228
632.437	-0.19239
632.4375	-0.19241
632.438	-0.19207
632.4385	-0.19261
632.439	-0.19231
632.4395	-0.19233
632.44	-0.19235
632.4405	-0.19227
632.441	-0.19252
632.4415	-0.19235
632.442	-0.19246
632.4425	-0.19229
632.443	-0.19246
632.4435	-0.19242
632.444	-0.1926
632.4445	-0.19246
632.445	-0.19236
632.4455	-0.19237
632.446	-0.19236
632.4465	-0.1922
632.447	-0.19236
632.4475	-0.1926
632.448	-0.1924
632.4485	-0.19246
632.449	-0.19224
632.4495	-0.19241
632.45	-0.19247
632.4505	-0.19281
632.451	-0.19238
632.4515	-0.19251
632.452	-0.19236
632.4525	-0.19251
632.453	-0.19238
632.4535	-0.19289
632.454	-0.19244
632.4545	-0.19232
632.455	-0.1925
632.4555	-0.19241
632.456	-0.19238
632.4565	-0.19263
632.457	-0.19226
632.4575	-0.19247
632.458	-0.19251
632.4585	-0.19252
632.459	-0.19239
632.4595	-0.19259
632.46	-0.19244
632.4605	-0.19236
632.461	-0.19232
632.4615	-0.19242
632.462	-0.19231
632.4625	-0.19244
632.463	-0.19261
632.4635	-0.19247
632.464	-0.19231
632.4645	-0.19263
632.465	-0.19207
632.4655	-0.19256
632.466	-0.19225
632.4665	-0.19244
632.467	-0.19256
632.4675	-0.19236
632.468	-0.19261
632.4685	-0.19246
632.469	-0.19257
632.4695	-0.1926
632.47	-0.19256
632.4705	-0.19248
632.471	-0.1927
632.4715	-0.1928
632.472	-0.19252
632.4725	-0.19281
632.473	-0.19262
632.4735	-0.1926
632.474	-0.19291
632.4745	-0.19269
632.475	-0.19269
632.4755	-0.19261
632.476	-0.19267
632.4765	-0.19252
632.477	-0.19241
632.4775	-0.19263
632.478	-0.19291
632.4785	-0.19289
632.479	-0.19261
632.4795	-0.19281
632.48	-0.19255
632.4805	-0.19285
632.481	-0.19268
632.4815	-0.1928
632.482	-0.19289
632.4825	-0.19303
632.483	-0.19301
632.4835	-0.19276
632.484	-0.19286
632.4845	-0.19296
632.485	-0.1928
632.4855	-0.19297
632.486	-0.19261
632.4865	-0.19294
632.487	-0.19308
632.4875	-0.19253
632.488	-0.19288
632.4885	-0.19275
632.489	-0.19268
632.4895	-0.19291
632.49	-0.19291
632.4905	-0.19319
632.491	-0.1928
632.4915	-0.1926
632.492	-0.19331
632.4925	-0.19303
632.493	-0.19342
632.4935	-0.19293
632.494	-0.1928
632.4945	-0.19314
632.495	-0.19328
632.4955	-0.19288
632.496	-0.19335
632.4965	-0.19303
632.497	-0.19319
632.4975	-0.19337
632.498	-0.19338
632.4985	-0.19327
632.499	-0.19334
632.4995	-0.19327
632.5	-0.19342
632.5005	-0.19414
632.501	-0.19338
632.5015	-0.19356
632.502	-0.19372
632.5025	-0.19423
632.503	-0.19354
632.5035	-0.19359
632.504	-0.19366
632.5045	-0.19382
632.505	-0.19356
632.5055	-0.19405
632.506	-0.19381
632.5065	-0.19371
632.507	-0.19413
632.5075	-0.19399
632.508	-0.19441
632.5085	-0.19441
632.509	-0.1945
632.5095	-0.19435
632.51	-0.19472
632.5105	-0.19515
632.511	-0.195
632.5115	-0.19495
632.512	-0.19496
632.5125	-0.1955
632.513	-0.19519
632.5135	-0.19514
632.514	-0.19543
632.5145	-0.19602
632.515	-0.19586
632.5155	-0.19671
632.516	-0.19639
632.5165	-0.19651
632.517	-0.19612
632.5175	-0.19743
632.518	-0.1973
632.5185	-0.19808
632.519	-0.19786
632.5195	-0.19856
632.52	-0.19982
632.5205	-0.19906
