#A	#B
409.7	-0.1989
409.702	-0.20091
409.704	-0.20365
409.706	-0.20542
409.708	-0.20663
409.71	-0.21035
409.712	-0.21493
409.714	-0.21598
409.716	-0.21807
409.718	-0.21984
409.72	-0.22358
409.722	-0.23053
409.724	-0.23072
409.726	-0.23359
409.728	-0.2359
409.73	-0.2426
409.732	-0.2446
409.734	-0.2505
409.736	-0.24892
409.738	-0.25497
409.74	-0.25657
409.742	-0.26151
409.744	-0.26149
409.746	-0.26976
409.748	-0.26997
409.75	-0.27454
409.752	-0.27673
409.754	-0.27819
409.756	-0.28078
409.758	-0.28607
409.76	-0.28475
409.762	-0.28622
409.764	-0.28419
409.766	-0.28683
409.768	-0.28769
409.77	-0.28963
409.772	-0.28585
409.774	-0.2816
409.776	-0.28195
409.778	-0.27933
409.78	-0.27996
409.782	-0.2761
409.784	-0.27545
409.786	-0.2754
409.788	-0.26679
409.79	-0.26533
409.792	-0.26349
409.794	-0.26146
409.796	-0.25796
409.798	-0.2545
409.8	-0.25508
409.802	-0.25242
409.804	-0.25043
409.806	-0.25516
409.808	-0.25356
409.81	-0.25217
409.812	-0.25804
409.814	-0.26389
409.816	-0.26528
409.818	-0.27431
409.82	-0.28506
409.822	-0.29131
409.824	-0.30302
409.826	-0.31558
409.828	-0.32474
409.83	-0.33724
409.832	-0.35152
409.834	-0.36327
409.836	-0.38335
409.838	-0.39691
409.84	-0.4172
409.842	-0.43622
409.844	-0.44517
409.846	-0.45992
409.848	-0.47598
409.85	-0.48414
409.852	-0.49995
409.854	-0.52807
409.856	-0.53861
409.858	-0.56353
409.86	-0.5684
409.862	-0.57553
409.864	-0.59416
409.866	-0.6048
409.868	-0.62901
409.87	-0.61315
409.872	-0.63594
409.874	-0.63994
409.876	-0.65668
409.878	-0.64508
409.88	-0.63857
409.882	-0.6332
409.884	-0.63136
409.886	-0.61698
409.888	-0.62353
409.89	-0.5985
409.892	-0.58245
409.894	-0.57503
409.896	-0.54392
409.898	-0.53287
409.9	-0.5299
409.902	-0.51885
409.904	-0.50584
409.906	-0.48298
409.908	-0.4793
409.91	-0.45099
409.912	-0.43934
409.914	-0.42345
409.916	-0.39881
409.918	-0.38692
409.92	-0.37975
409.922	-0.35379
409.924	-0.34478
409.926	-0.32293
409.928	-0.31489
409.93	-0.29878
409.932	-0.28403
409.934	-0.26821
409.936	-0.26013
409.938	-0.24937
409.94	-0.24257
409.942	-0.23062
409.944	-0.22519
409.946	-0.21982
409.948	-0.21615
409.95	-0.21212
409.952	-0.20761
409.954	-0.20544
409.956	-0.20424
409.958	-0.20321
409.96	-0.20234
409.962	-0.2005
409.964	-0.20022
409.966	-0.1997
409.968	-0.19878
409.97	-0.19874
409.972	-0.19784
409.974	-0.19737
409.976	-0.19762
409.978	-0.19656
409.98	-0.1978
409.982	-0.19671
409.984	-0.19773
409.986	-0.19681
409.988	-0.19673
409.99	-0.19664
409.992	-0.19671
409.994	-0.19639
409.996	-0.19637
409.998	-0.19598
410	-0.19629
